"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000237441",NA,"RGL2",0.0203427001194743,0.167951595345052,0.351685845664897
"ENSG00000105640","Q02543","RPL18A",0.00873884109916366,0.921402590050188,0.96239599877355
"ENSG00000111554","H0Y301","MDM1",0.00349674432497014,0.913371300647868,0.957824732184454
"ENSG00000185973","Q9NVH6","TMLHE",0.0142784826762246,0.122770250635389,0.286037198381911
"ENSG00000162373","Q7L4P6","BEND5",0.0363387275985663,0.00207755158100424,0.0123807579815389
"ENSG00000105135",NA,"ILVBL",0.00674903524492235,0.7307882304881,0.852860347181105
"ENSG00000164300","Q86VE9","SERINC5",0.00066988649940263,0.0900608663938105,0.231283600827649
"ENSG00000128564","O15240","VGF",0.00865911589008367,0.530382011827015,0.71583951501244
"ENSG00000137486","P49407","ARRB1",0.00113091099163681,0.294916856496712,0.502041154949899
"ENSG00000150867","P48426","PIP4K2A",0.00400204301075267,0.713739251948678,0.84198631529783
"ENSG00000104432",NA,"IL7",0.00706791218637991,0.557244791655785,0.736303901064265
"ENSG00000066654","A0A024R388","THUMPD1",0.004700582437276,0.497757516725234,0.687487366696136
"ENSG00000134152","Q9H079","KATNBL1",-0.00370572580645161,0.000548368960920268,0.0039853730595009
"ENSG00000167889","Q3V5L5","MGAT5B",0.00887920848267622,0.0822017948685573,0.216632183281749
"ENSG00000103021","H3BQS9","CCDC113",0.00506076762246118,0.723195316392474,0.848698576568762
"ENSG00000079150","Q9Y680","FKBP7",0.00598725806451612,0.402367356680149,0.606694269749081
"ENSG00000131089","O43307","ARHGEF9",0.0440084020310634,0.179966196723375,0.368254203077102
"ENSG00000183337","H7C2V9","BCOR",0.0305153016726404,0.123999726263088,0.288069398821362
"ENSG00000128309","P25325","MPST",0.0784789725209077,1.53272960760608e-11,9.19781010321366e-10
"ENSG00000108774","P51148","RAB5C",0.00220281362007168,0.611091778527105,0.774238510081943
"ENSG00000147118","P17025","ZNF182",0.0275645848267622,0.223643932572375,0.422491198897205
"ENSG00000177084",NA,"POLE",0.00920718637992831,0.612864701156273,0.775721431440238
"ENSG00000076864","X6R8W7","RAP1GAP",0.0209024671445639,0.000846976184019053,0.00581339826572564
"ENSG00000221909","Q8TCP9","FAM200A",0.00822061230585423,0.825791287308449,0.910675325954481
"ENSG00000198556","Q5FWF6","ZNF789",0.0187178315412186,0.318865560921306,0.526405225184603
"ENSG00000131100","P36543","ATP6V1E1",0.0033800358422939,0.419637213256917,0.621646610428834
"ENSG00000283496","H7BY64","ZNF511-PRAP1",0.0158656884707288,0.46314423472577,0.65910061262262
"ENSG00000099875","K7EMP5","MKNK2",0.00423625746714457,0.161802065897132,0.342881539645375
"ENSG00000003249","Q9H9R9","DBNDD1",0.0021580854241338,0.0253205552372339,0.0905562700573461
"ENSG00000173818",NA,"ENDOV",0.0201434737156511,0.0055579685379056,0.027815834748162
"ENSG00000121060","Q14258","TRIM25",0.0115605943847073,0.971745445645972,0.987900463869214
"ENSG00000113196","O96004","HAND1",0.0591781959378733,0.0303414375532328,0.103408901554834
"ENSG00000037042","Q9NRH3","TUBG2",0.0070301164874552,0.373180905295128,0.578932459442607
"ENSG00000029534","P16157","ANK1",0.0994126821983275,2.07367205536592e-06,2.91039306393542e-05
"ENSG00000062650",NA,"WAPL",0.00722270310633214,0.0761443003325727,0.205404190853745
"ENSG00000240857","Q9HBH5","RDH14",0.00506530436081242,0.255975647461525,0.459772822719272
"ENSG00000159674","Q9BUD6","SPON2",0.0362929510155317,0.000654801018139707,0.0046364277191742
"ENSG00000163539",NA,"CLASP2",0.021339674432497,0.000839253891923169,0.00576409446217813
"ENSG00000169618","Q8TCW9","PROKR1",0.0232930800477897,0.0611853866015229,0.176814811758556
"ENSG00000157985","Q9UPQ3","AGAP1",0.0162422013142175,0.0207575772964707,0.0782020320936656
"ENSG00000160570","Q8WXF8","DEDD2",0.0137967712066905,0.385522198645482,0.590098999686532
"ENSG00000170915","D6RCM7","PAQR8",0.0122503673835125,0.753741772534747,0.867810226050478
"ENSG00000114054","P05166","PCCB",0.0083691009557945,0.552146659699476,0.732447793633223
"ENSG00000169989","Q8IY51","TIGD4",-0.000120722819593799,0.467777947237843,0.662986352166691
"ENSG00000275835","A0A087X1Z1","TUBGCP5",-0.00203072281959378,0.257045091187714,0.461029757127462
"ENSG00000150281","Q16619","CTF1",0.134858930704898,0.000126660437071663,0.00111585269624165
"ENSG00000100629","H0YJE3","CEP128",-0.000676744324970127,0.88134299307398,0.9419295359158
"ENSG00000145247","Q56VL3","OCIAD2",-0.00265468936678614,0.00564397295281275,0.0280762842760681
"ENSG00000196700","Q96KM6","ZNF512B",0.0290825955794504,0.0284568338980989,0.0988023683394736
"ENSG00000187140","Q9UJU5","FOXD3",0.0202831362007169,0.771097089784327,0.879746981100749
"ENSG00000151726","B7Z3Z9","ACSL1",-0.0114248655913979,0.00036785059970958,0.00282553560077728
"ENSG00000253305","Q9Y5F9","PCDHGB6",0.274471884707288,9.90613203228655e-13,1.06902981141701e-10
"ENSG00000105245","Q9Y6R0","NUMBL",0.00811987455197134,0.579543770870081,0.752147660991771
"ENSG00000128602","Q99835","SMO",0.0400430107526882,3.12214090297845e-06,4.13345705938652e-05
"ENSG00000099617","O43921","EFNA2",0.00512036738351255,0.113830290336448,0.273191939652127
"ENSG00000013563","P49184","DNASE1L1",0.0348551105137396,0.0541956946121051,0.161443078220518
"ENSG00000137547","Q9P015","MRPL15",0.00308140352449224,0.618200696658508,0.779175483815622
"ENSG00000077454","H7C5D9","LRCH4",0.00392028375149342,0.225575255782592,0.424763054059496
"ENSG00000115355","Q3V6T2","CCDC88A",0.00920387694145758,0.600490958794473,0.767545117784011
"ENSG00000076201","R4GMM7","PTPN23",0.0116717413381123,0.717518114493197,0.8447359060004
"ENSG00000164078","Q04912","MST1R",0.00705910991636791,0.817918305203374,0.905649224622809
"ENSG00000116459",NA,"ATP5F1",0.013339486260454,0.002358247697434,0.0137472992800388
"ENSG00000186314",NA,"PRELID2",0.0132230197132617,0.16028880013691,0.340633255621185
"ENSG00000159210","Q96H20","SNF8",0.000154988052568698,0.497750312805092,0.687487366696136
"ENSG00000148291","Q15527","SURF2",0.00304313321385901,0.550458997557732,0.731111827226314
"ENSG00000132429","Q9HBV1","POPDC3",0.0198356359020311,0.0995603093167003,0.248221217148616
"ENSG00000280571","C9JAW5","RP4-613B23.5",0.00620786738351255,0.941513600095005,0.972798977389313
"ENSG00000105866","Q02446","SP4",0.00321002389486262,0.55554246236989,0.734891568211768
"ENSG00000181085","Q8TD08","MAPK15",0.00471741039426524,0.0229414499208111,0.0841301827748556
"ENSG00000106351","A0A0C4DG34","AGFG2",0.0102615113500597,0.386910044783455,0.5909521933232
"ENSG00000173264","F5H234","GPR137",0.00618624850657109,0.957629099005832,0.980301523004332
"ENSG00000205268","Q13946","PDE7A",0.0138347401433692,0.263468921397547,0.467918107799861
"ENSG00000130675","S4R464","MNX1",0.0537860304659498,1.26182542099052e-05,0.000146645810464799
"ENSG00000124356","O95630","STAMBP",0.0159763799283154,0.759513814074476,0.871097592565852
"ENSG00000183580","Q9UJT9","FBXL7",0.0573152837514934,0.000134740873045666,0.00117470624008991
"ENSG00000120896",NA,"SORBS3",0.0125459737156511,0.222683234935643,0.421664890193998
"ENSG00000084764","Q9UPY8","MAPRE3",0.0100589259259259,0.218861262732451,0.4171478050653
"ENSG00000107864","Q8NE35","CPEB3",0.00859698924731183,0.130304470787394,0.296706587642337
"ENSG00000157657","Q5T7W0","ZNF618",0.00239885603345282,0.915378637397948,0.959302963000288
"ENSG00000122678","Q9NP87","POLM",0.00818553763440861,0.683775419356217,0.821350771698324
"ENSG00000185453","Q86XI8","C19orf68",0.0121883960573477,0.310343591515954,0.517797574690775
"ENSG00000088812","O75882","ATRN",0.009003509557945,0.963678120798498,0.98351382240279
"ENSG00000158552","C9J1R6","ZFAND2B",0.00205315800477898,0.933463433151218,0.968456114785245
"ENSG00000178342","Q9UJ96","KCNG2",-0.00707873357228239,0.0136373099404951,0.0563698471789308
"ENSG00000130830","Q00013","MPP1",0.0330285364396655,0.102189541185934,0.252908593268954
"ENSG00000134698","Q9HCK5","AGO4",0.00608946833930705,0.0696812685233216,0.192248973714641
"ENSG00000119965",NA,"C10orf88",0.0148979898446834,0.00560132696913702,0.0279134359513369
"ENSG00000078114","O76041","NEBL",0.0155517443249701,0.765299523867765,0.875387591120499
"ENSG00000143554","X6R3N0","SLC27A3",0.00533226105137394,0.66345592337114,0.808437146972954
"ENSG00000092847","Q5TA58","AGO1",0.0334112873357228,0.00222309284703467,0.0131029084821632
"ENSG00000105376","Q9UMF0","ICAM5",0.00517399342891278,0.000787360942612322,0.00544518078382552
"ENSG00000198944","Q2M3V2","SOWAHA",0.0124345758661888,0.137526679380716,0.307476642139382
"ENSG00000142252","Q9H840","GEMIN7",0.00308300776583036,0.849509239163123,0.925388959914199
"ENSG00000206579","Q5GH76","XKR4",0.0947310483870967,0.00760632576146995,0.0356758347073766
"ENSG00000144566","P20339","RAB5A",-0.00287260752688172,0.523770941948448,0.710727598512174
"ENSG00000115241","O15355","PPM1G",0.0193354271206691,0.345339019526955,0.553673749411565
"ENSG00000074201","U3KPU0","CLNS1A",0.00277437574671445,0.359753902044119,0.566174899407308
"ENSG00000168348","Q96T92","INSM2",0.0132212066905615,9.87802125636111e-05,0.000892706185603021
"ENSG00000126777","G3V475","KTN1",-0.000899345878136198,0.887335184941904,0.944325657693381
"ENSG00000116266",NA,"STXBP3",0.010023458781362,0.0266750924550858,0.0943277909979085
"ENSG00000120254","Q6UB35","MTHFD1L",0.0053001403823178,0.114408911688644,0.274217028084082
"ENSG00000100811","G3V3M8","YY1",-0.000448369175627246,0.963677390909374,0.98351382240279
"ENSG00000105258",NA,"POLR2I",0.0163924342891279,0.0337875380920779,0.112438342622043
"ENSG00000138629","H3BSE0","UBL7",0.0177476612903226,0.443338713154607,0.64216050063586
"ENSG00000005469","Q9UKG9","CROT",0.00884509856630825,0.819885067141402,0.906576045346865
"ENSG00000154553","Q53GG5","PDLIM3",0.00483531959378732,0.0131613122246012,0.0547046157950247
"ENSG00000198924","Q6PJP8","DCLRE1A",0.00834142473118279,0.00254277060655295,0.0146308588093455
"ENSG00000113296",NA,"THBS4",0.176444256272401,1.03318122370605e-08,2.46161656304881e-07
"ENSG00000088543","Q9UK00","C3orf18",0.0268035603345281,0.0210392521068305,0.0790017764783385
"ENSG00000181638","A0A0G2JH32","ZFP41",0.0104572550776583,0.0311231753472788,0.105293331649299
"ENSG00000171094","Q9UM73","ALK",0.0347047013142174,0.066626406001932,0.186776711460867
"ENSG00000063601","E9PIH9","MTMR1",0.0255442891278375,0.726990441811889,0.85113035414801
"ENSG00000112029",NA,"FBXO5",0.0232215442054958,0.0136354211378266,0.0563698471789308
"ENSG00000128652",NA,"HOXD3",0.117245955794504,4.70460958782946e-08,9.63582078579042e-07
"ENSG00000164889","C9J722","SLC4A2",0.0209900418160096,0.0591164003569294,0.172661962881289
"ENSG00000131061","Q9BYN7","ZNF341",-0.000146370967741939,0.88533658965374,0.94407721409964
"ENSG00000141759","P83876","TXNL4A",0.01387777479092,0.691222519151502,0.827585268594405
"ENSG00000075131","Q9BVW5","TIPIN",0.00575860513739546,0.275538409805569,0.480903088091051
"ENSG00000275342","Q86YV5","SGK223",0.00594549283154121,0.159528028264395,0.339534097503946
"ENSG00000143079","Q9P2B4","CTTNBP2NL",0.00507591995221029,0.0817525986239303,0.215898633343095
"ENSG00000183773","Q96NN9","AIFM3",0.0787813560334528,7.6735745344118e-07,1.19467639428695e-05
"ENSG00000061273","Q8WUI4","HDAC7",0.0087550806451613,0.480282369183948,0.673708222941434
"ENSG00000007080","Q96CT7","CCDC124",0.0178857825567503,0.670818346061149,0.813855275380666
"ENSG00000085760","P46199","MTIF2",-5.84229390680063e-06,0.625350736737609,0.784413324537399
"ENSG00000151466",NA,"SCLT1",0.0127639336917563,0.467779936211119,0.662986352166691
"ENSG00000057935","D6W5A2","MTA3",0.00228011947431303,0.358430450973632,0.564852685867129
"ENSG00000157005","P61278","SST",0.287788676821983,6.47567249883223e-13,7.92005583142891e-11
"ENSG00000165288","Q6RI45","BRWD3",0.0237000388291517,0.470894754467587,0.6658478789774
"ENSG00000271092","S4R434","TMEM56-RWDD3",0.0055414516129032,0.233421651976241,0.434688843842244
"ENSG00000065559","P45985","MAP2K4",0.00683547998805257,0.588228248946585,0.758592015213189
"ENSG00000008300","Q9NYQ7","CELSR3",0.0311270340501792,0.000371457362267566,0.00284961496191164
"ENSG00000122824","Q8NFP7","NUDT10",0.089180256869773,0.000206101776750919,0.00171010079028048
"ENSG00000174137","H0Y9F1","FAM53A",0.00292783154121865,0.0929846742399445,0.236129955821508
"ENSG00000170577","Q9NPC8","SIX2",0.0256552986857826,0.145050016538626,0.319403490504006
"ENSG00000185838","Q9BYB4","GNB1L",0.00661347371565114,0.66896535547969,0.812540158604218
"ENSG00000118412","A0A096LP21","CASP8AP2",0.00474740740740742,0.0111642432692464,0.048373988274018
"ENSG00000132205","Q9BXX0","EMILIN2",0.00308454002389486,0.191738033927696,0.384089133488631
"ENSG00000119973","P49683","PRLHR",0.115409289127838,4.22569401447923e-12,3.21102736887233e-10
"ENSG00000186017","K7EQC1","ZNF566",0.0506539068100358,0.00280966803930042,0.0158955678719955
"ENSG00000143190","P14859","POU2F1",0.00884038530465953,0.965694760811189,0.984242348719248
"ENSG00000104231",NA,"ZFAND1",0.00296083632019117,0.228492441036674,0.428563364785378
"ENSG00000170684","Q8WUU4","ZNF296",0.0188668966547192,0.000138933302719911,0.00120642619677339
"ENSG00000135040","Q5VZE5","NAA35",0.0147413351254481,0.413835656291514,0.616099872257782
"ENSG00000163625","Q8IZQ1","WDFY3",0.032621917562724,0.000378644278172453,0.00289446230841943
"ENSG00000127952","Q9Y6J8","STYXL1",0.00874113799283155,0.937488191146549,0.970513989164649
"ENSG00000172260","Q7Z3B1","NEGR1",0.0290548357228196,0.0190157136290258,0.0730699564404396
"ENSG00000185324","F8W872","CDK10",-0.00655278375149343,0.375899440000105,0.581540669025805
"ENSG00000166105","Q8NCI6","GLB1L3",0.026680050776583,0.0105356382057488,0.0462559541327267
"ENSG00000278540","Q13085","ACACA",0.0159174850657109,0.219814767078394,0.418395459835315
"ENSG00000186326","Q6ZS82","RGS9BP",0.00288421146953406,0.010307591841883,0.0454422844858532
"ENSG00000204839","A6NGR9","MROH6",0.190548745519713,3.57240140470551e-10,1.27796221892047e-08
"ENSG00000068650","P98196","ATP11A",0.0183694534050179,0.0551527634661903,0.163648749637897
"ENSG00000168159","Q5TA31","RNF187",0.00370543010752689,0.747982901465185,0.864047618707713
"ENSG00000171566","O43660","PLRG1",0.000409127837514935,0.0173994290751789,0.0681506583230466
"ENSG00000198736","Q9NZV6","MSRB1",0.000343225806451623,0.111536844089395,0.269196034178811
"ENSG00000258890","Q96GE4","CEP95",0.0129362275985663,0.449383807222777,0.646609171132202
"ENSG00000167080","Q8NHY0","B4GALNT2",0.0214619026284349,0.0235571502989196,0.0856774041748368
"ENSG00000020129","Q9UBB6","NCDN",0.021326609916368,0.296089076147645,0.503095620900613
"ENSG00000198216","E9PIE8","CACNA1E",0.15199883213859,1.44296876705018e-07,2.62879055976525e-06
"ENSG00000182631","Q9NSD7","RXFP3",0.173414617682198,1.76154089353724e-11,1.03295471026508e-09
"ENSG00000013588","Q8NFJ5","GPRC5A",0.0181957855436081,0.351849169395357,0.558731402401541
"ENSG00000137094","O75953","DNAJB5",-0.000841272401433689,0.331304140279847,0.539583348956455
"ENSG00000100129","B0QY89","EIF3L",0.00475600955794506,0.0499156814709717,0.151505664082657
"ENSG00000163596","Q8NDH6","ICA1L",0.0183473327359618,0.335096836100902,0.54327907703671
"ENSG00000160716","P17787","CHRNB2",0.00328279868578255,0.109275675087473,0.265689919457968
"ENSG00000077254","Q8TEY7","USP33",0.000645424133811228,0.0404371044440129,0.128961454030681
"ENSG00000262633","E7EQ34","RP11-156P1.2",-0.00227477598566309,0.327534434023459,0.535493481596567
"ENSG00000203727","Q5TGI4","SAMD5",0.0125591726403823,0.207706896565591,0.404453671826433
"ENSG00000124767","Q04760","GLO1",0.0128770191158901,0.794413257633158,0.892163502695944
"ENSG00000137460","Q9C0D6","FHDC1",0.00150129241338112,0.39528762641381,0.599128914869137
"ENSG00000104365","O14920","IKBKB",0.00211632019115891,0.197838205930115,0.392689732801918
"ENSG00000171867","P04156","PRNP",-0.00216743727598567,0.287970005751189,0.495013013318614
"ENSG00000138606","H0YLW6","SHF",0.0226548745519714,0.00663550206763984,0.0320115244081038
"ENSG00000162521","Q09028","RBBP4",0.0108699770011947,0.241452191905423,0.44284826837476
"ENSG00000162782","Q8NAT2","TDRD5",0.0794817741935483,0.00149801706994018,0.009500830308875
"ENSG00000161682","A8MVW0","FAM171A2",-0.0074746356033453,0.744152511137227,0.862259380655061
"ENSG00000071242","Q15349","RPS6KA2",0.0675675298685783,5.53693495896085e-07,8.82302484038939e-06
"ENSG00000142166",NA,"IFNAR1",0.0178503285543608,0.000412790744370164,0.00312212903194809
"ENSG00000188566",NA,"NDOR1",0.00696439366786142,0.69495427635291,0.830199477390137
"ENSG00000008838","A0A0B4J1W0","MED24",0.00503599462365593,0.931452373949212,0.967463542060619
"ENSG00000171044","H7BYF9","XKR6",0.0518937234169653,0.525421012711203,0.712434018241799
"ENSG00000116396",NA,"KCNC4",0.0085214008363202,0.0429739416322367,0.135274305176329
"ENSG00000101346","Q9H488","POFUT1",0.0058571624850657,0.905348268259939,0.953930541240861
"ENSG00000266472","A0A075B746","MRPS21",0.0631594265232975,0.798321334907622,0.895218528019882
"ENSG00000007202","Q14667","KIAA0100",0.0113096535244922,0.895335963374371,0.948046210558515
"ENSG00000089902","J3KN32","RCOR1",0.00846951612903227,0.0153647247295287,0.0620492883218258
"ENSG00000110218","Q96RD7","PANX1",0.00395132019115892,0.581277188332042,0.752951548573743
"ENSG00000243449","Q5BLP8","C4orf48",0.0197337544802868,0.771097338363964,0.879746981100749
"ENSG00000148834",NA,"GSTO1",0.0154455854241338,0.0142261894635716,0.0584082693747419
"ENSG00000167842","I3L4K6","MIS12",0.0178497341696535,0.263471588372385,0.467918107799861
"ENSG00000141959","P17858","PFKL",0.00775930107526881,0.474003099580386,0.668196998569816
"ENSG00000104388","P61019","RAB2A",0.0151796804062127,0.486597718913973,0.678201017244426
"ENSG00000138750",NA,"NUP54",0.00835597072879331,0.927430745493239,0.96609961192496
"ENSG00000131165","Q9HD42","CHMP1A",0.00576467443249701,0.761438670197275,0.872216451060166
"ENSG00000104047","Q8N5C7","DTWD1",0.00732610812425329,0.11616154118339,0.276106624796465
"ENSG00000120937","P16860","NPPB",0.010094641577061,0.0440295268342161,0.137875441015607
"ENSG00000111229","O15145","ARPC3",-0.000270525388291519,0.670808308044821,0.813855275380666
"ENSG00000173825","Q6B0B8","TIGD3",0.00308895848267623,0.461595887404074,0.657639472080927
"ENSG00000185149","P49146","NPY2R",0.146178643966547,2.89051778778425e-10,1.06361115847351e-08
"ENSG00000173511","P49765","VEGFB",0.0152863888888889,0.955613918186868,0.979956801584876
"ENSG00000165916","R4GNH3","PSMC3",0.00840291816009558,0.167955395658285,0.351685845664897
"ENSG00000110583",NA,"NAA40",0.00414962962962962,0.93547558242681,0.969759609931022
"ENSG00000167216","K7EQ00","KATNAL2",-0.000611938470728796,0.859432994969492,0.929498102840451
"ENSG00000184451","P46092","CCR10",-0.00148303464755062,0.810064200049113,0.902243119386998
"ENSG00000143337","Q5JTV8","TOR1AIP1",-7.43130227001173e-05,0.627141681834868,0.785895033993555
"ENSG00000131013","Q8WUA2","PPIL4",0.0146021326164874,0.464691928714204,0.660422061592276
"ENSG00000244045","Q8N511","TMEM199",0.0107924761051374,0.591721897477941,0.761108629594066
"ENSG00000214960","A4D126","ISPD",0.086189554958184,0.0175205593617754,0.0684744715706681
"ENSG00000198825","Q9Y2H2","INPP5F",0.00960978494623654,0.937487772999236,0.970513989164649
"ENSG00000214655","S4R410","ZSWIM8",0.0144935394265233,0.186624250764584,0.377733193682002
"ENSG00000175054","H0Y8Y6","ATR",0.0217820101553166,0.670816961561683,0.813855275380666
"ENSG00000087903","P48378","RFX2",0.00323707287933092,0.767229336201899,0.876347247834288
"ENSG00000085999","A0A087WWG5","RAD54L",0.0157548775388291,0.723195909423414,0.848698576568762
"ENSG00000228716","P00374","DHFR",0.00600037634408602,0.859434393549569,0.929498102840451
"ENSG00000120925","Q96K19","RNF170",0.014652550776583,0.513936741612264,0.70160516504362
"ENSG00000164305","A8MVM1","CASP3",0.0109877837514934,0.0685235157507289,0.190189489583263
"ENSG00000169919","P08236","GUSB",-0.00223932795698929,0.089110938249363,0.229470993144533
"ENSG00000173402",NA,"DAG1",0.00070875448028674,0.51720190775357,0.704270918287404
"ENSG00000122778","Q9HCM3","KIAA1549",0.0311508805256869,0.0985227094568342,0.246406284608727
"ENSG00000179862","Q96RK1","CITED4",0.0172700209080048,0.57436107114309,0.748067431604417
"ENSG00000104853",NA,"CLPTM1",0.014269692353644,0.845546513363053,0.923029333245649
"ENSG00000160695","A0A087WXL6","VPS11",0.00654287037037038,0.168731286181213,0.352748286585696
"ENSG00000166794","P23284","PPIB",0.012935752688172,0.618206189751268,0.779175483815622
"ENSG00000171453","D6RDJ3","POLR1C",-0.00155438470728796,0.0974997385074748,0.244360119645959
"ENSG00000118276",NA,"B4GALT6",0.000640073178016728,0.126487954742415,0.291327107200766
"ENSG00000145414","D6RIB3","NAF1",-0.00254255973715649,0.702443002871024,0.834955424986104
"ENSG00000141580","Q5MNZ6","WDR45B",0.0054279659498208,0.711849205368953,0.841073395410138
"ENSG00000078053","P49418","AMPH",0.051507619474313,0.0117420471268971,0.0502637897345375
"ENSG00000198876","Q5T6F0","DCAF12",0.00764442652329749,0.0165813749448396,0.0655856716078953
"ENSG00000229544","Q9UD57","NKX1-2",0.00513372162485064,0.0571041699205325,0.168011675385017
"ENSG00000161509","Q14957","GRIN2C",0.0497385215053763,4.98383057200267e-07,8.05061034033437e-06
"ENSG00000122203","Q96A73","KIAA1191",-0.00249686379928313,0.144354086088673,0.318090205719068
"ENSG00000165813","Q7Z3E2","CCDC186",0.0172260035842294,0.0107669275832001,0.0470013337138145
"ENSG00000148719","Q9NXW2","DNAJB12",0.00720941756272402,0.911365583164012,0.957049583091437
"ENSG00000156411","P56378","C14orf2",0.00671440860215056,0.502583518497094,0.691251399990744
"ENSG00000111843","Q9P0S9","TMEM14C",0.000583443847072877,0.226541738624079,0.42596422017541
"ENSG00000132434","Q9NS86","LANCL2",0.0128540949820789,0.205643820642383,0.402434801814043
"ENSG00000149084","Q53GQ0","HSD17B12",0.0110353345280765,0.72130089338252,0.847250012632781
"ENSG00000112473","A2AAT0","SLC39A7",0.0134658482676225,0.296086917913323,0.503095620900613
"ENSG00000011638","I3NI23","TMEM159",0.00121357526881721,0.513936741612264,0.70160516504362
"ENSG00000170633","Q969K3","RNF34",0.0142808124253286,0.0389779716684484,0.125204185793709
"ENSG00000115271",NA,"GCA",0.0184924432497013,0.287975930009575,0.495013013318614
"ENSG00000178021","Q8N831","TSPYL6",-0.0799518518518524,8.29397058314793e-12,5.52106444004811e-10
"ENSG00000168615","C9JPM3","ADAM9",0.0168596893667861,0.58300586440554,0.754285954758999
"ENSG00000166546","Q3B7T3","BEAN1",0.00634911589008364,0.299611339180908,0.506467888707121
"ENSG00000156052","P50148","GNAQ",0.00575140979689369,0.504196706076395,0.692729542462191
"ENSG00000198517","O60675","MAFK",0.00462869474313024,0.885337607340773,0.94407721409964
"ENSG00000173273","E7EWY6","TNKS",0.0121811529271206,0.232421276891465,0.43346905948598
"ENSG00000132879","Q9H4M3","FBXO44",0.0940797789725209,1.28362644152748e-06,1.8796272248684e-05
"ENSG00000138758","Q9NVA2","SEPT11",0.00827643369175627,0.384142703972825,0.58882318028396
"ENSG00000159023",NA,"EPB41",0.00885975209080049,0.588226998558877,0.758592015213189
"ENSG00000149582","Q86YD3","TMEM25",0.0198994444444445,0.444845368421777,0.642889633675271
"ENSG00000183570",NA,"PCBP3",0.00240129928315411,0.000333957671522351,0.00258978527638287
"ENSG00000147509","O76081","RGS20",0.0100517204301075,0.670817999937918,0.813855275380666
"ENSG00000234616","Q86XJ5","JRK",0.0069015979689367,0.588230749687972,0.758592015213189
"ENSG00000132286","Q9Y5J6","TIMM10B",0.00852258781362007,0.156542932302347,0.335474174755177
"ENSG00000082068","Q9NW82","WDR70",-0.00512959976105133,0.00333866038777506,0.0184013204720203
"ENSG00000160633","K7ES42","SAFB",0.0156794653524492,0.243495419160563,0.444999110327961
"ENSG00000120942","Q9Y5Z9","UBIAD1",0.000688922939068103,1,1
"ENSG00000083896","Q96MU7","YTHDC1",0.0207599880525687,0.124613431910484,0.288831517738441
"ENSG00000080493","Q9Y6R1","SLC4A4",0.0441623745519713,0.000337216820041005,0.00261194502613064
"ENSG00000100024","F8WC94","UPB1",0.234270101553166,8.2824995042985e-14,2.26306082200428e-11
"ENSG00000145782","O94817","ATG12",0.00151633512544803,0.74798018160064,0.864047618707713
"ENSG00000166192","Q96LD8","SENP8",0.0069230256869773,0.101651297518254,0.252131802490697
"ENSG00000138496","Q8IXQ6","PARP9",0.00818274492234172,0.859434082757604,0.929498102840451
"ENSG00000144152","Q53RD9","FBLN7",0.0386034737156511,0.000130654289491119,0.00114529855675423
"ENSG00000077009","Q9NPI5","NMRK2",0.0534784169653525,5.53757827546632e-07,8.82302484038939e-06
"ENSG00000140525","Q9NVI1","FANCI",0.0149234318996416,0.0226398563276426,0.083309112497554
"ENSG00000270170","Q69YL0","NCBP2-AS2",0.00535379032258065,0.061537868813302,0.177312204045211
"ENSG00000108528","Q02978","SLC25A11",0.00782994324970132,0.170305515568217,0.355108373916055
"ENSG00000169862","Q9UQB3","CTNND2",0.211518285543608,2.29548230769759e-07,3.99980784198812e-06
"ENSG00000180425",NA,"C11orf71",0.00852288829151733,0.0658757317846826,0.185328082812365
"ENSG00000135587","O60906","SMPD2",0.0149251105137395,0.168732713661435,0.352748286585696
"ENSG00000185561","A6NGC4","TLCD2",0.0133115890083632,0.00245927681770255,0.0142197356564323
"ENSG00000157593",NA,"SLC35B2",0.0051445579450418,0.505813099944815,0.693984461173224
"ENSG00000138032","C9JIR6","PPM1B",0.015208458781362,0.989907348444209,0.995722635907685
"ENSG00000123191",NA,"ATP7B",0.0123084707287933,5.16853812368988e-05,0.000500183621585723
"ENSG00000158062","Q5T124","UBXN11",-0.00533249701314218,4.8537572811372e-07,7.85037166301814e-06
"ENSG00000065675","Q04759","PRKCQ",0.00996387694145762,0.187476047811288,0.378370852635153
"ENSG00000196372",NA,"ASB13",4.64187574670399e-06,0.849507910253573,0.925388959914199
"ENSG00000006611","Q9Y6N9","USH1C",0.0430583422939068,0.00689350501829809,0.0330079027200517
"ENSG00000139625","Q12852","MAP3K12",-0.00123581839904419,0.937487633614934,0.970513989164649
"ENSG00000221890","O95502","NPTXR",0.00708859916367982,0.45852931533631,0.654786826886942
"ENSG00000157483","Q12965","MYO1E",0.0054537037037037,0.931452679502638,0.967463542060619
"ENSG00000170584","Q8WVJ2","NUDCD2",0.00581124551971326,0.0350774292622712,0.115518448662436
"ENSG00000176381","Q8N4B5","PRR18",0.0643383452807647,0.00209535920747472,0.012469232132711
"ENSG00000177963","Q9NPQ8","RIC8A",0.0126301284348865,0.959645492069447,0.98134812254422
"ENSG00000186684","Q4G0S4","CYP27C1",0.00901367383512544,0.075316879312525,0.204054718171191
"ENSG00000144559",NA,"TAMM41",0.00132900537634409,0.786618572096751,0.887602188756378
