"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000150281","Q16619","CTF1",0.134858930704898,0.000126660437071663,0.00111585269624165
"ENSG00000253305","Q9Y5F9","PCDHGB6",0.274471884707288,9.90613203228655e-13,1.06902981141701e-10
"ENSG00000113296",NA,"THBS4",0.176444256272401,1.03318122370605e-08,2.46161656304881e-07
"ENSG00000128652",NA,"HOXD3",0.117245955794504,4.70460958782946e-08,9.63582078579042e-07
"ENSG00000157005","P61278","SST",0.287788676821983,6.47567249883223e-13,7.92005583142891e-11
"ENSG00000119973","P49683","PRLHR",0.115409289127838,4.22569401447923e-12,3.21102736887233e-10
"ENSG00000204839","A6NGR9","MROH6",0.190548745519713,3.57240140470551e-10,1.27796221892047e-08
"ENSG00000198216","E9PIE8","CACNA1E",0.15199883213859,1.44296876705018e-07,2.62879055976525e-06
"ENSG00000182631","Q9NSD7","RXFP3",0.173414617682198,1.76154089353724e-11,1.03295471026508e-09
"ENSG00000185149","P49146","NPY2R",0.146178643966547,2.89051778778425e-10,1.06361115847351e-08
"ENSG00000100024","F8WC94","UPB1",0.234270101553166,8.2824995042985e-14,2.26306082200428e-11
"ENSG00000169862","Q9UQB3","CTNND2",0.211518285543608,2.29548230769759e-07,3.99980784198812e-06
"ENSG00000187772",NA,"LIN28B",0.133461827956989,2.5083538830573e-12,2.17650544366364e-10
"ENSG00000123977","C9JBF9","DAW1",0.206617974910394,1.23457399873814e-08,2.89950859923667e-07
"ENSG00000124827","O75603","GCM2",0.151734298088411,2.29205752674705e-12,2.01606868208805e-10
"ENSG00000141096","Q9H4B8","DPEP3",0.105403136200717,2.98646222281876e-10,1.09577565329824e-08
"ENSG00000106483","Q6FHJ7","SFRP4",0.162462150537634,1.0731991510078e-06,1.60629644490002e-05
"ENSG00000187715","Q3ZCT8","KBTBD12",0.276340973715651,1.53628446463822e-12,1.47306544683781e-10
"ENSG00000009709","P23759","PAX7",0.210742207287933,5.82432572788456e-12,4.13237519323169e-10
"ENSG00000183778","Q9Y2C3","B3GALT5",0.132446027479092,2.69955859600269e-07,4.5615436170877e-06
"ENSG00000006071",NA,"ABCC8",0.10339130525687,3.48928325274602e-05,0.000358475004254115
"ENSG00000162722","Q8NG06","TRIM58",0.131291129032258,1.38391500268375e-05,0.000158829516770821
"ENSG00000205362","P04731","MT1A",0.181381624850657,1.1273757390846e-10,4.8769837300363e-09
"ENSG00000186994","Q6NY19","KANK3",-0.110120695937873,1.28054066766747e-12,1.30513517890363e-10
"ENSG00000178222",NA,"RNF212",0.108230615292712,8.08175998293796e-07,1.25233044706392e-05
"ENSG00000164483","E9PRU9","SAMD3",0.171807658303465,5.18480834441576e-07,8.36473728127979e-06
"ENSG00000183644","Q6PI97","C11orf88",0.163699396654719,0.000367867331643219,0.00282553560077728
"ENSG00000148734","Q9GZQ6","NPFFR1",0.19800821385902,1.77790688288534e-12,1.6426743044988e-10
"ENSG00000149091","Q13574","DGKZ",0.10028699223417,1.70453740777881e-09,5.05535089854399e-08
"ENSG00000164458","O15178","T",0.272510818399044,1.74626016253894e-12,1.63689583995074e-10
"ENSG00000204764",NA,"RANBP17",0.141410185185185,2.72536737022701e-08,5.88221307032862e-07
"ENSG00000168748","P43166","CA7",0.116804787933094,4.204910505106e-05,0.000419902493830259
"ENSG00000054938","H0YCU0","CHRDL2",0.148248133213859,9.87900583231873e-06,0.000118256648034361
"ENSG00000123569","Q7Z2G1","H2BFWT",-0.124236917562724,1.18956167475246e-12,1.24197975830659e-10
"ENSG00000187416","Q86UP9","LHFPL3",0.164103590203106,2.37785622147983e-06,3.25302697163387e-05
"ENSG00000144191",NA,"CNGA3",0.161782054958184,8.62385842835807e-11,3.8875633594642e-09
"ENSG00000182256","Q99928","GABRG3",0.165909671445639,9.30655777439786e-09,2.25074981052387e-07
"ENSG00000102878",NA,"HSF4",0.140099127837515,3.03586907856515e-10,1.11073021957076e-08
"ENSG00000132837","Q9UI17","DMGDH",0.144012186379928,5.66315816720787e-09,1.46642707378081e-07
"ENSG00000198440",NA,"ZNF583",0.264236935782557,4.38122056642072e-08,9.04560040417604e-07
"ENSG00000114279","P61328","FGF12",0.137477368578256,2.47676360554518e-09,7.00585863929763e-08
"ENSG00000182255","P22459","KCNA4",0.161460376344086,1.90160133298566e-09,5.53749757782356e-08
"ENSG00000185053","Q96LD1","SGCZ",0.115689650537634,2.15223930771902e-06,3.00503011768309e-05
"ENSG00000153266","Q8TBJ5","FEZF2",0.135669157706093,2.12044795887024e-09,6.09265150378809e-08
"ENSG00000136574","B3KUF4","GATA4",0.141234886499403,4.34010407138738e-10,1.5270031913632e-08
"ENSG00000198010",NA,"DLGAP2",0.265369145758662,1.16861462186013e-09,3.62496352027243e-08
"ENSG00000198453","C9JZ58","ZNF568",0.180726045400239,5.19959157771853e-11,2.51026898650607e-09
"ENSG00000148826","Q9C056","NKX6-2",0.197491338112306,4.48296032256063e-10,1.56866965837394e-08
"ENSG00000150627","Q8IZU2","WDR17",0.155211618876942,0.00078730754032181,0.00544518078382552
"ENSG00000175497","C9J4M8","DPP10",0.25767273297491,1.57259792464328e-10,6.37105605709846e-09
"ENSG00000166148","P37288","AVPR1A",0.235199680406213,1.64735349551329e-13,3.41214735312608e-11
"ENSG00000066336","P17947","SPI1",-0.14434247311828,6.8088114814216e-10,2.26525277317141e-08
"ENSG00000130640","Q9BSJ2","TUBGCP2",-0.125851344086021,4.53832019847648e-05,0.000447971621743544
"ENSG00000129596","Q16878","CDO1",0.204886221624851,5.98763954179413e-10,2.00862637917915e-08
"ENSG00000242419","Q9Y5F7","PCDHGC4",0.249985642174433,3.93379647490996e-12,3.00734277897101e-10
"ENSG00000016082","P61371","ISL1",0.116024384707288,1.50013184420246e-05,0.000170484010117239
"ENSG00000078328","F8VR27","RBFOX1",0.212783037634409,3.89226864011038e-11,1.97567248522915e-09
"ENSG00000053328","Q5JXM2","METTL24",0.144255286738351,2.25905636244508e-05,0.000242788685509005
"ENSG00000112238","Q9H4Q3","PRDM13",0.107567069892473,8.63564658993426e-08,1.68539473416316e-06
"ENSG00000141837","O00555","CACNA1A",0.232697556750299,8.15236439859804e-12,5.51014018983137e-10
"ENSG00000137273","Q12947","FOXF2",0.136098545400239,8.76436788520897e-09,2.1483476628086e-07
"ENSG00000130037","P22460","KCNA5",0.12667619474313,1.92066357907554e-11,1.11104331903099e-09
"ENSG00000156925","O60481","ZIC3",0.212116072281959,1.12523410209458e-07,2.13761188448204e-06
"ENSG00000213420","Q8N158","GPC2",0.105888449820789,2.4382641615516e-06,3.3099564865376e-05
"ENSG00000182348","A4D1E1","ZNF804B",0.115396182795699,9.42833311915364e-06,0.000113582226938247
"ENSG00000181666","F5H6A5","HKR1",0.210838509557945,3.93422821108184e-12,3.00734277897101e-10
"ENSG00000133169","Q9HBH7","BEX1",0.256007147550777,3.53403500083719e-08,7.45327292547076e-07
"ENSG00000083814","M0R091","ZNF671",0.226394429510155,1.61091758541787e-08,3.6551524842197e-07
"ENSG00000181523",NA,"SGSH",0.131115860215054,1.65147685129861e-09,4.94529984551822e-08
"ENSG00000144218","P51826","AFF3",0.143781117084827,0.00979332315917329,0.0437294353303559
"ENSG00000134249","Q9UKF2","ADAM30",0.186575328554361,6.72244560687297e-13,7.9934857855058e-11
"ENSG00000165325","A0A087WVI3","DEUP1",0.115722873357228,0.000168583043751106,0.00143659153805687
"ENSG00000185811",NA,"IKZF1",0.117806027479092,0.000214527492013865,0.00176946169158352
"ENSG00000187800","F2Z2F7","PEAR1",0.177560848267622,1.36816924460006e-05,0.000157437539777365
"ENSG00000196711","Q6UXT8","FAM150A",0.174457873357228,1.34984505619717e-08,3.12337120931244e-07
"ENSG00000151025","Q5T848","GPR158",0.171046009557945,7.21301092113757e-09,1.80213008267021e-07
"ENSG00000087495","Q96KR7","PHACTR3",0.121531944444445,2.15274529066958e-06,3.00503011768309e-05
"ENSG00000131408","M0R3A7","NR1H2",0.13360427120669,1.20629583208284e-09,3.7328315844838e-08
"ENSG00000003987","Q9Y216","MTMR7",0.245729593787336,4.44094647317681e-09,1.17607523252063e-07
"ENSG00000156395","Q9UPU3","SORCS3",0.235533246714456,1.28032043099554e-12,1.30513517890363e-10
"ENSG00000165973","J3KNC5","NELL1",0.236375934886499,9.66845481119702e-10,3.02834869964371e-08
"ENSG00000112837",NA,"TBX18",0.139573754480287,6.45737512553124e-06,8.07454833126311e-05
"ENSG00000185686","P78395","PRAME",-0.157720812425328,4.99468832075464e-13,6.68222998797116e-11
"ENSG00000196653","Q8TBZ5","ZNF502",0.102338772401434,7.28090576979956e-05,0.000678529694454034
"ENSG00000078725",NA,"BRINP1",0.210438948626045,1.48200911617492e-12,1.44189743728296e-10
"ENSG00000110975","Q6XYQ8","SYT10",0.137071370967742,2.7150887382849e-11,1.44677052186949e-09
"ENSG00000197177","Q86SQ6","ADGRA1",0.16010701911589,3.10403619334597e-08,6.63378799991291e-07
"ENSG00000130592","P33241","LSP1",0.110128195937873,2.05556963836547e-09,5.93205062828976e-08
"ENSG00000267552","K7EIZ5","CTD-2528L19.4",0.113613823178017,0.00228001567530261,0.0133835856747887
"ENSG00000164107","H0YAH1","HAND2",0.157685788530466,3.10458385605642e-08,6.63378799991291e-07
"ENSG00000141449",NA,"GREB1L",0.134052649342891,1.6820864752146e-05,0.000187515828575307
"ENSG00000171532",NA,"NEUROD2",0.124574796893668,4.11487940014725e-09,1.1055079760814e-07
"ENSG00000124721","A0A075B6F3","DNAH8",0.265292759856631,2.64855683076002e-12,2.20886745189237e-10
"ENSG00000155897","P40145","ADCY8",0.235346768219833,2.59386261597533e-13,4.5014032046426e-11
"ENSG00000160224",NA,"AIRE",0.113044982078853,1.28486418361066e-09,3.95688869206909e-08
"ENSG00000131771","Q9UD71","PPP1R1B",0.212855259856631,9.89651212376846e-12,6.32393835051996e-10
"ENSG00000158023","Q8TBY9","WDR66",0.117587873357228,1.55220302179887e-05,0.000175361703301017
"ENSG00000168918","Q92835","INPP5D",-0.143575119474313,1.86585982378499e-08,4.18219682801456e-07
"ENSG00000166501","P05771","PRKCB",0.132703771206691,0.00547195006878006,0.0275247876158533
"ENSG00000171873","P25100","ADRA1D",0.119200672043011,1.12977904311228e-06,1.68508971796144e-05
"ENSG00000166206","P28472","GABRB3",0.174949133811231,1.60049378667651e-09,4.82719187026044e-08
"ENSG00000173327","Q16584","MAP3K11",0.157597132616487,9.66721246494476e-10,3.02834869964371e-08
"ENSG00000183654","A6NNE9","MARCH11",0.326299808841099,1.67751544097638e-14,1.1338238575273e-11
"ENSG00000127903","Q9Y2P0","ZNF835",0.228221845878136,3.43798220188568e-13,5.25601993293047e-11
"ENSG00000183346","Q8IVU9","C10orf107",0.137496176821983,1.70122652976029e-07,3.05982508335878e-06
"ENSG00000124564","H0Y8R7","SLC17A3",0.10181541218638,0.0060517109260117,0.0296739487254075
"ENSG00000176076","Q9UJ90","KCNE5",0.270534997013142,1.55926051262487e-11,9.31349930378071e-10
"ENSG00000129204","P35125","USP6",0.171628285543608,3.28598437488905e-12,2.59015989631308e-10
"ENSG00000121075","K7EPY2","TBX4",0.242253375149343,2.43776447270591e-14,1.27702814612613e-11
"ENSG00000250486","Q96MZ4","FAM218A",0.201527425328554,1.02341706909096e-05,0.000122257879081545
"ENSG00000129038","H3BUV8","LOXL1",0.105932168458782,8.08426990045158e-07,1.25233044706392e-05
"ENSG00000205002","Q4LEZ3","AARD",0.184361388888889,1.23560809860563e-06,1.81968798191439e-05
"ENSG00000139767","A7MD48","SRRM4",0.136193724611708,7.40032695542381e-08,1.46207690402389e-06
"ENSG00000223953","Q9BXJ0","C1QTNF5",0.118445624253286,2.70265257730086e-05,0.000284045317216452
"ENSG00000256870","Q8N695","SLC5A8",0.130600681003584,1.45264066073908e-08,3.34315615864002e-07
"ENSG00000069431","O60706","ABCC9",0.262002365591398,2.29840797160973e-14,1.27702814612613e-11
"ENSG00000002933","Q96HP8","TMEM176A",0.155014086021505,5.5790669296694e-09,1.450331528559e-07
"ENSG00000154654","O15394","NCAM2",0.149395501792115,3.37151730041567e-09,9.35140932439266e-08
"ENSG00000167525","Q8NCQ7","PROCA1",0.139635026881721,0.000543423717925129,0.00395166896126529
"ENSG00000163520","P98095","FBLN2",0.113000758661888,7.35923302696287e-05,0.000684339395599256
"ENSG00000164112","Q4W5P6","TMEM155",0.236149378733572,9.22824642453923e-11,4.08652208910113e-09
"ENSG00000187583","Q494U1","PLEKHN1",-0.155400537634409,3.40246291602717e-10,1.2308289793696e-08
"ENSG00000119614","P58304","VSX2",0.119842290919952,0.00510023272256565,0.0259517703063695
"ENSG00000262484","I3L3Z9","CCER2",0.136911618876942,2.43739533133893e-09,6.91282300458542e-08
"ENSG00000066923","Q9UJ98","STAG3",0.105888449820789,2.4382641615516e-06,3.3099564865376e-05
"ENSG00000137265","Q15306","IRF4",0.122530116487455,3.92691205873171e-07,6.48192861931011e-06
"ENSG00000103449","Q9NSC2","SALL1",0.205761499402628,5.82401115007424e-12,4.13237519323169e-10
"ENSG00000162951","Q86UE6","LRRTM1",0.185689528076464,4.11455287397114e-09,1.1055079760814e-07
"ENSG00000172264","A1Z1Q3","MACROD2",0.14142421744325,8.78756290828969e-06,0.000106562684483717
"ENSG00000196932","Q6ZUK4","TMEM26",0.210304008363202,7.29178232394305e-11,3.40512976742097e-09
"ENSG00000187581","Q7Z4L0","COX8C",-0.133795161290323,2.74631577615707e-12,2.26078123060315e-10
"ENSG00000152578","E9PJZ5","GRIA4",0.227876869772999,2.81045560777627e-11,1.49139962458937e-09
"ENSG00000188573","A6NHQ2","FBLL1",0.125412825567503,2.17972178663306e-06,3.03616571792725e-05
"ENSG00000142185","O94759","TRPM2",0.110416523297491,1.03289998522594e-06,1.54782602564918e-05
"ENSG00000145864","P47870","GABRB2",0.140572365591398,2.4382641615516e-06,3.3099564865376e-05
"ENSG00000133657","Q9H7F0","ATP13A3",0.168013452807646,1.42871980316456e-12,1.41167771510239e-10
"ENSG00000126562","Q96J92","WNK4",0.154886359020311,7.44776683529825e-06,9.1705376754817e-05
"ENSG00000141485","Q86YT5","SLC13A5",0.152603739545998,2.32663916903355e-07,4.0486043643264e-06
"ENSG00000179008","H0YJQ0","C14orf39",0.215463025686977,1.53257053866908e-11,9.19781010321366e-10
"ENSG00000164318","Q63HQ2","EGFLAM",0.101580498805257,8.51401555515932e-10,2.73366038739616e-08
"ENSG00000170178","P35452","HOXD12",0.255149790919952,4.87607926257259e-15,5.69260089908702e-12
"ENSG00000136160","P24530","EDNRB",0.173885731780167,8.13317073730073e-09,2.00472511724407e-07
"ENSG00000180440","A2A2V5","SERTM1",0.238596170848268,5.6174610335243e-10,1.90341516075248e-08
"ENSG00000187391","Q86UL8","MAGI2",0.23809369474313,1.10569724548998e-12,1.17350115922168e-10
"ENSG00000089225","Q99593","TBX5",0.134844426523297,3.28761924232232e-12,2.59015989631308e-10
"ENSG00000105131","Q9H6B9","EPHX3",0.122456272401434,4.37974158211763e-12,3.28916031564647e-10
"ENSG00000164129","Q15761","NPY5R",0.16081479390681,2.37847226409409e-06,3.25302697163387e-05
"ENSG00000197937","M0QZJ6","ZNF347",0.224226756272402,7.54092498805904e-11,3.49604905042073e-09
"ENSG00000100604","P10645","CHGA",0.103942565710872,2.36335713166548e-05,0.000252918602373734
"ENSG00000106538",NA,"RARRES2",0.145553614097969,2.84212857081086e-10,1.04952693360381e-08
"ENSG00000157766","Q6PID9","ACAN",0.129756385902031,2.8997476855986e-06,3.86301955686618e-05
"ENSG00000150394","J3KRI5","CDH8",0.135839883512545,1.86606352784017e-08,4.18219682801456e-07
"ENSG00000007062","H0Y9D4","PROM1",0.134699289127838,0.000324336139507837,0.00252781040378307
"ENSG00000162761","Q8TE12","LMX1A",0.131990964755078,1.95008406455105e-07,3.43996971936327e-06
"ENSG00000139508",NA,"SLC46A3",0.112363957586619,0.00178141261640424,0.0109253653563909
"ENSG00000178187","Q8N9F8","ZNF454",0.222580758661888,5.20901656019302e-14,1.83140410725623e-11
"ENSG00000112333","Q9Y466","NR2E1",0.106840701911589,1.10130644928492e-06,1.64453225833918e-05
"ENSG00000164309","Q8N3K9","CMYA5",0.153924581839904,9.79363921341233e-08,1.88560591872026e-06
"ENSG00000164114","Q49MG5","MAP9",0.120714471326165,0.000485231732065328,0.00358974664243563
"ENSG00000169026",NA,"MFSD7",-0.115858482676225,2.4889620529973e-07,4.30771572568616e-06
"ENSG00000151778","F2Z2S5","SERP2",0.186004510155316,2.59207652164183e-07,4.43832622545659e-06
"ENSG00000136732","P04921","GYPC",0.162790250298686,0.00331129715774117,0.0182757748297148
"ENSG00000164532","Q9UMR3","TBX20",0.155380555555556,2.71453881040734e-11,1.44677052186949e-09
"ENSG00000119737","O95800","GPR75",0.172053614097969,3.1303652516714e-13,5.02895669970991e-11
"ENSG00000065609","E9PDG8","SNAP91",0.138151935483871,2.26302550872105e-06,3.13165663609867e-05
"ENSG00000242265","Q86TG7","PEG10",0.145708046594982,1.55300570471735e-06,2.22585929240851e-05
"ENSG00000197016","Q6ECI4","ZNF470",0.187118563321386,2.76484597002452e-08,5.95740804480788e-07
"ENSG00000184261","Q9HB15","KCNK12",0.228054136798088,1.33331329185669e-11,8.15352823524933e-10
"ENSG00000105556","Q8N344","MIER2",0.168982556750299,4.38628681078892e-11,2.17485309745758e-09
"ENSG00000135929",NA,"CYP27A1",0.16515438172043,1.32857674573403e-07,2.44785976595645e-06
"ENSG00000165462","H0YGU5","PHOX2A",0.170627634408602,7.49409038677415e-10,2.4430409480346e-08
"ENSG00000107831","R4GMQ3","FGF8",0.121613336320191,5.43940690106873e-10,1.85286109876723e-08
"ENSG00000113396","D6RAJ2","SLC27A6",0.113567589605735,9.21043206367204e-06,0.000111270337311078
