"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000253305","Q9Y5F9","PCDHGB6",0.301768451268358,7.52382854428144e-26,1.22305071095775e-23
"ENSG00000113296",NA,"THBS4",0.130318404025881,2.51982334089877e-18,1.07506881540937e-16
"ENSG00000128652",NA,"HOXD3",0.370532816062442,1.11284505546759e-30,1.78639452528934e-27
"ENSG00000157005","P61278","SST",0.2769759108555,1.87014454627599e-24,2.28727583459774e-22
"ENSG00000204839","A6NGR9","MROH6",0.161095392831468,8.75708338885633e-16,2.60406418471192e-14
"ENSG00000198216","E9PIE8","CACNA1E",0.163180942795522,8.44953220192406e-15,2.23269326208043e-13
"ENSG00000169862","Q9UQB3","CTNND2",0.12742855643422,1.79771758324137e-08,2.04303444283059e-07
"ENSG00000187772",NA,"LIN28B",0.20629126630379,7.40033567553007e-25,9.89949070262054e-23
"ENSG00000123977","C9JBF9","DAW1",0.156334499332443,1.03673144694445e-11,1.8064728957477e-10
"ENSG00000124827","O75603","GCM2",0.137613464105987,2.36026540604457e-21,1.53083476486992e-19
"ENSG00000187715","Q3ZCT8","KBTBD12",0.303670649070556,2.9656382686806e-20,1.59350320696219e-18
"ENSG00000009709","P23759","PAX7",0.270429328335216,4.76462220619258e-25,6.87497509796912e-23
"ENSG00000113430","P78413","IRX4",0.114881079285201,2.01867714788768e-13,4.40152005612395e-12
"ENSG00000113722","P47902","CDX1",-0.138038677826846,1.52081274511693e-12,2.96362325839023e-11
"ENSG00000124159","O95460","MATN4",0.125826231898942,4.08834511391919e-05,0.000243632890264851
"ENSG00000162722","Q8NG06","TRIM58",0.211918501591866,3.30387835451153e-15,9.18363762524613e-14
"ENSG00000175718","Q8N7X1","RBMXL3",0.257150980794906,0.000305188114725894,0.00147783777123301
"ENSG00000205362","P04731","MT1A",0.180063721885591,2.7371516360703e-19,1.29718918691179e-17
"ENSG00000119919","Q8TAU0","NKX2-3",0.110160638800452,0.00129767322827546,0.00532249108831476
"ENSG00000186994","Q6NY19","KANK3",-0.192386108657698,5.09519892393092e-30,4.32950416916408e-27
"ENSG00000148734","Q9GZQ6","NPFFR1",0.132516416144603,1.34459145383553e-16,4.61691001341068e-15
"ENSG00000164458","O15178","T",0.164102493581185,2.1336707376913e-19,1.03009772982826e-17
"ENSG00000131037","K7EN83","EPS8L1",-0.143871583649995,8.28068268586676e-05,0.000462752511104878
"ENSG00000123569","Q7Z2G1","H2BFWT",-0.126950374858786,1.50608298082118e-16,5.10319726641307e-15
"ENSG00000102878",NA,"HSF4",0.130369521413166,1.46739875684205e-12,2.87261201758622e-11
"ENSG00000204851",NA,"PNMAL2",-0.110096620108863,1.10061442120339e-14,2.86115190224574e-13
"ENSG00000132837","Q9UI17","DMGDH",0.171018418404026,5.66443200040314e-18,2.3019821439613e-16
"ENSG00000182255","P22459","KCNA4",0.102718729177365,1.56684883374442e-11,2.6936375800463e-10
"ENSG00000136574","B3KUF4","GATA4",0.141410805176132,2.1555600387231e-12,4.13159731601225e-11
"ENSG00000198010",NA,"DLGAP2",0.201912542877683,5.58771045719003e-15,1.51068163560493e-13
"ENSG00000198453","C9JZ58","ZNF568",0.102789485467803,1.11169805299184e-18,4.88918712209631e-17
"ENSG00000175497","C9J4M8","DPP10",0.104600043134436,8.99697250502172e-09,1.08284087075435e-07
"ENSG00000166148","P37288","AVPR1A",0.146606554380199,3.90268608443121e-12,7.2425281352985e-11
"ENSG00000105996","O43364","HOXA2",0.135987411933861,1.25344340620114e-13,2.79942960390175e-12
"ENSG00000130640","Q9BSJ2","TUBGCP2",-0.140199534764301,1.37668336951429e-13,3.05343140437005e-12
"ENSG00000129596","Q16878","CDO1",0.239816361302249,1.62436562270716e-19,7.96187149878066e-18
"ENSG00000078328","F8VR27","RBFOX1",0.135731473759885,7.35292013614072e-18,2.95081876213497e-16
"ENSG00000268797","M0QY20","CTC-490E21.12",0.131728571428571,1.85511995901719e-23,1.77786944132081e-21
"ENSG00000174672","Q8IWQ3","BRSK2",-0.130616798808668,5.41078003523586e-20,2.81316749848174e-18
"ENSG00000112238","Q9H4Q3","PRDM13",0.115674023107733,4.49275752039908e-12,8.20711124850142e-11
"ENSG00000141837","O00555","CACNA1A",0.129692579850056,1.22532726774037e-14,3.16612731837461e-13
"ENSG00000137273","Q12947","FOXF2",0.115807588579645,6.38507035899994e-18,2.58665847161758e-16
"ENSG00000153395","Q8NF37","LPCAT1",-0.164934151175927,7.45636051222092e-22,5.29030838110172e-20
"ENSG00000156925","O60481","ZIC3",0.103793328540618,5.99900938462666e-05,0.000346417848055961
"ENSG00000213420","Q8N158","GPC2",0.115234759166067,9.92736341946342e-08,1.0118031827996e-06
"ENSG00000133169","Q9HBH7","BEX1",0.105946305843689,0.00156805773143853,0.00628153553880606
"ENSG00000083814","M0R091","ZNF671",0.181380696313033,1.59853899157751e-10,2.43524341496783e-09
"ENSG00000134249","Q9UKF2","ADAM30",0.169363026599569,6.91348212286288e-27,1.557595393365e-24
"ENSG00000187800","F2Z2F7","PEAR1",0.275232136181575,2.51048572412287e-24,2.93087796992599e-22
"ENSG00000003987","Q9Y216","MTMR7",0.220789513197083,6.89642655198503e-12,1.23005430250822e-10
"ENSG00000137707","Q9NY30","BTG4",0.157026056280168,0.00378598022377427,0.0133864421898979
"ENSG00000156395","Q9UPU3","SORCS3",0.159618116462976,3.97211105578193e-19,1.84818297747651e-17
"ENSG00000165973","J3KNC5","NELL1",0.120274714901921,1.58567464736582e-10,2.42131198828441e-09
"ENSG00000112837",NA,"TBX18",0.168831908185273,2.56013673135481e-16,8.23991877294698e-15
"ENSG00000185686","P78395","PRAME",-0.200668527267126,5.11079344341066e-29,2.62531237601119e-26
"ENSG00000196653","Q8TBZ5","ZNF502",0.124388193488754,2.70227076818454e-11,4.47774983290656e-10
"ENSG00000078725",NA,"BRINP1",0.177943716750539,6.07155047409602e-22,4.355913474209e-20
"ENSG00000110975","Q6XYQ8","SYT10",0.10168250590531,5.50883390742274e-14,1.27928472041813e-12
"ENSG00000171532",NA,"NEUROD2",0.155653507240423,1.16341931417186e-15,3.39576879886159e-14
