"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000938","P09769","FGR",0.755144946542831,1.30798989263961e-13,7.87642280335647e-13
"ENSG00000004799","Q16654","PDK4",-0.458521439511745,8.65806128066198e-05,0.000192100734664688
"ENSG00000005882","Q15119","PDK2",-0.926010860266626,2.252931141681e-15,1.77066570207808e-14
"ENSG00000009954","Q9UIG0","BAZ1B",0.522019366597377,3.14450157440099e-21,7.44198705941569e-20
"ENSG00000010671","Q06187","BTK",0.294475579377231,5.08906183075679e-05,0.000116353049864213
"ENSG00000012983",NA,"MAP4K5",0.212401450018369,9.6984393334112e-06,2.40186661596712e-05
"ENSG00000027075","G3V4L3","PRKCH",-0.426380828233956,3.43619773485983e-05,8.00524399252863e-05
"ENSG00000028116","Q86Y07","VRK2",0.302436966487278,4.46938665742749e-10,1.76756925089379e-09
"ENSG00000034152","X6RB39","MAP2K3",-0.162402466514521,0.00191591901712068,0.00359251909919773
"ENSG00000050748","P45984","MAPK9",-0.193300273695133,8.47081081129706e-06,2.11077258726842e-05
"ENSG00000055332","P19525","EIF2AK2",0.700499128813018,5.06469130626571e-24,3.14909918616805e-22
"ENSG00000058404","Q13554","CAMK2B",-1.11338062271776,0.000287489527333453,0.00059844293843501
"ENSG00000060237","F5GWT4","WNK1",0.159397221321829,0.000243029532537748,0.000510853036188569
"ENSG00000065534","Q15746","MYLK",-0.954350420667144,7.92147530755247e-21,1.68499721724213e-19
"ENSG00000067900","Q13464","ROCK1",0.0914269109929364,0.00696943209008714,0.0120273924129801
"ENSG00000067992","Q15120","PDK3",-0.23928534193594,0.00267676208829881,0.0049285817458987
"ENSG00000070770",NA,"CSNK2A2",0.29253985388663,4.8848071618803e-16,4.21424906872235e-15
"ENSG00000070808","Q9UQM7","CAMK2A",-0.899494856040402,0.00151820203586274,0.00288851475517757
"ENSG00000071054","E7ETN6","MAP4K4",0.349703702268432,3.07767353755969e-15,2.35715696302312e-14
"ENSG00000072062","P17612","PRKACA",-0.453274323433625,1.23557840482321e-07,3.80077806729576e-07
"ENSG00000072786","O94804","STK10",0.579180905978017,8.30775327059151e-16,6.92840248947425e-15
"ENSG00000075413","A0A0A0MST9","MARK3",0.465726299537717,2.58345381017823e-19,3.92296714412613e-18
"ENSG00000076984","O14733","MAP2K7",0.0981641089333074,0.00117282687446203,0.0022654530876557
"ENSG00000079277",NA,"MKNK1",0.201964903324129,1.39851098755952e-06,3.82000349812202e-06
"ENSG00000085511","Q9Y6R4","MAP3K4",0.186712516261515,0.000410052043093684,0.000837478497342746
"ENSG00000087586","O14965","AURKA",0.140565615257557,4.67673769018306e-05,0.00010746372107685
"ENSG00000095015","Q13233","MAP3K1",-1.15844276928966,0.00561311323614547,0.00984321848335345
"ENSG00000097007","P00519","ABL1",0.080914449307464,0.0132060435916768,0.0219675646764825
"ENSG00000100030","P28482","MAPK1",-0.0621138539445134,0.00821102567847619,0.0140432060269251
"ENSG00000100749","Q99986","VRK1",0.515023264953069,1.87682072459065e-15,1.48394523506385e-14
"ENSG00000100784","O75582","RPS6KA5",-0.424050581564291,2.28615808823236e-13,1.33460828839698e-12
"ENSG00000101109","Q13043","STK4",0.368827392966164,4.20027031350554e-10,1.6674136930229e-09
"ENSG00000101213","Q13882","PTK6",-1.03218798663593,5.45015800538628e-17,5.42332010611733e-16
"ENSG00000101266","A0A087WY74","CSNK2A1",0.156637342112962,1.96881195245178e-05,4.70615923484152e-05
"ENSG00000101306","Q9H1R3","MYLK2",-1.16742551412607,0.00225051902482907,0.00418334581866333
"ENSG00000101336","H0Y3C5","HCK",0.72770686059593,9.42579578751471e-17,9.02060675184012e-16
"ENSG00000101782","O14730","RIOK3",-0.270715466665422,1.33193379412015e-06,3.65048521351448e-06
"ENSG00000102755","P17948","FLT1",0.253106763717639,5.79158449584614e-06,1.47213279831522e-05
"ENSG00000102882","P27361","MAPK3",-0.608309067800011,7.5118923639825e-26,1.43518118110415e-23
"ENSG00000103319","O00418","EEF2K",-0.293882729061352,7.58442615587502e-11,3.26093085294332e-10
"ENSG00000104312","O43353","RIPK2",0.228597371365094,6.02794237040894e-07,1.72030468300535e-06
"ENSG00000104375",NA,"STK3",0.359039463722088,2.70304497677273e-15,2.08696521792269e-14
"ENSG00000105053","Q8IV63","VRK3",0.521718923104789,0.0308698916337567,0.0482063934146999
"ENSG00000105221","P31751","AKT2",-0.270976822744384,1.5678435383616e-08,5.29229036334844e-08
"ENSG00000105287","Q9BZL6","PRKD2",0.167892584777594,2.36747324070763e-08,7.83047177002069e-08
"ENSG00000105810","Q00534","CDK6",0.551586319531705,3.18453460134216e-16,2.85521242243203e-15
"ENSG00000105976","C9JKM5","MET",0.53480624631916,1.26748104292259e-12,6.78141079380374e-12
"ENSG00000106683","E9PC47","LIMK1",0.422666138489184,7.17113862834814e-17,6.99668753079686e-16
"ENSG00000107643","C9J762","MAPK8",0.168772784114633,2.92096792820095e-06,7.70419954556617e-06
"ENSG00000107968","P41279","MAP3K8",0.0363624716931206,0.0096989428149918,0.0164116732850135
"ENSG00000108443","K7ER06","RPS6KB1",0.0892979191465493,0.00320277535042412,0.00581960286741426
"ENSG00000108984","P52564","MAP2K6",-0.752342807207125,7.62403088428849e-19,1.04586575107185e-17
"ENSG00000111816","P42685","FRK",-0.177765209505221,0.00378220455411683,0.00680654315030993
"ENSG00000112739","Q13523","PRPF4B",0.283856386242739,2.82557181338767e-14,1.85801680945417e-13
"ENSG00000112742","P33981","TTK",0.689087626113576,4.46683954891106e-07,1.29661740276125e-06
"ENSG00000113712","P48729","CSNK1A1",0.464257736889351,7.32102714256954e-10,2.84396869553126e-09
"ENSG00000113721","P09619","PDGFRB",0.164111119678719,0.00330483465606159,0.00599468368132146
"ENSG00000114738",NA,"MAPKAPK3",-0.178250842078349,0.000205969001896562,0.000436795614920095
"ENSG00000115977","A0A096LP25","AAK1",0.332520205055182,7.97467989875685e-22,2.17656977600356e-20
"ENSG00000116141","Q9P0L2","MARK1",0.4137861869924,3.39343235092574e-11,1.51736966568203e-10
"ENSG00000117676","E9PPC1","RPS6KA1",0.326356443828708,1.85438987470959e-09,6.95429293484953e-09
"ENSG00000118046","A0A087WT72","STK11",0.409446803901979,0.00324254053129447,0.0058888033015628
"ENSG00000119408","Q9HC98","NEK6",0.5063787423733,1.16461926191895e-10,4.89317041353234e-10
"ENSG00000120539","Q96GX5","MASTL",0.853946564844136,0.000687171453845686,0.00136887158995459
"ENSG00000120899","Q14289","PTK2B",0.389613354149432,3.76701671530578e-12,1.88854063189089e-11
"ENSG00000122966","O14578","CIT",0.322034076179435,6.88528020620767e-10,2.68163544873351e-09
"ENSG00000123143","K7EPK3","PKN1",0.245636473403714,2.5332382647928e-06,6.74076163242411e-06
"ENSG00000123374","P24941","CDK2",0.444125994560263,1.65925139529009e-19,2.61400504673287e-18
"ENSG00000126934","P36507","MAP2K2",-0.209472672102191,4.56277715266783e-10,1.80382476750314e-09
"ENSG00000127564",NA,"PKMYT1",0.633150044214393,3.70691098790078e-09,1.34829424232819e-08
"ENSG00000128829","Q9P2K8","EIF2AK4",0.205294239130332,3.34227417025276e-10,1.34458717385207e-09
"ENSG00000129465","Q9Y572","RIPK3",-0.185545986425652,0.0030711640259808,0.00559812095187087
"ENSG00000131023","O95835","LATS1",1.12368938631055,0.00416110658641223,0.00744127093431241
"ENSG00000132155","P04049","RAF1",-0.111467459143253,2.90241068896117e-05,6.81379167104646e-05
"ENSG00000132356","Q13131","PRKAA1",0.0682519073204944,0.0317170970825372,0.0493826131491038
"ENSG00000133216","P29323","EPHB2",0.198618334384715,0.00394122266270068,0.00707454180725294
"ENSG00000134058","D6REC6","CDK7",0.45186661953025,3.46601683829527e-19,5.12249014582372e-18
"ENSG00000134072","Q14012","CAMK1",-0.245487032353076,3.1113358180672e-07,9.23296152958207e-07
"ENSG00000134853","P16234","PDGFRA",-1.18655585141242,4.7453460617079e-08,1.52117438732235e-07
"ENSG00000135250",NA,"SRPK2",0.577366046287885,8.90771172774189e-23,3.23883165519418e-21
"ENSG00000135341","O43318","MAP3K7",0.305053710122248,1.5222864053726e-15,1.2201514529104e-14
"ENSG00000135446","P11802","CDK4",-0.0625696590040796,0.0163741025988859,0.0268046533897949
"ENSG00000136098","A0A087WY58","NEK3",0.126150036983056,0.000272919633703697,0.000569920411557721
"ENSG00000136807","X6RE90","CDK9",0.427005237041854,2.61104639169115e-21,6.2928613495162e-20
"ENSG00000137275",NA,"RIPK1",0.2254986793453,7.62634965046399e-10,2.9560192595749e-09
"ENSG00000137601","Q96PY6","NEK1",-0.397630597173354,6.08836582104724e-10,2.38007991248379e-09
"ENSG00000137764","Q13163","MAP2K5",-0.196444782978606,0.0138702326635186,0.0229887073861598
