"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000000003","O43657","TSPAN6",0.876026685970482,7.22233511801786e-20,4.98573684918052e-19
"ENSG00000000005","Q9H2S6","TNMD",-0.0241675602465923,0.0166746830057746,0.0245473369133574
"ENSG00000000419","O60762","DPM1",0.235672090416589,5.32331872734574e-07,1.28132202076812e-06
"ENSG00000000457","Q8IZE3","SCYL3",0.412136717728375,4.5035039566764e-13,1.77731350157686e-12
"ENSG00000000460",NA,"C1orf112",1.08824120119559,2.00564571604286e-31,6.89284244037744e-30
"ENSG00000000938","P09769","FGR",-1.89783696992341,7.62150507533502e-35,1.88977868310934e-32
"ENSG00000000971","P08603","CFH",-0.157456501027458,0.119039291885699,0.151638677982682
"ENSG00000001036","Q9BTY2","FUCA2",0.33827648981879,3.16316530053028e-08,8.4356175385047e-08
"ENSG00000001084",NA,"GCLC",0.467418027274421,0.00223336990070256,0.00370236147003114
"ENSG00000001167","P23511","NFYA",0.598687147393983,3.66623000615807e-24,3.87605889609955e-23
"ENSG00000001460","Q5TH74","STPG1",-0.384791397347282,2.92658647756722e-08,7.82959273314207e-08
"ENSG00000001461","Q6P499","NIPAL3",-0.413783308425188,3.01945393359861e-07,7.43714226358822e-07
"ENSG00000001497","Q9Y4W2","LAS1L",0.336800653838974,1.70068510621394e-15,8.14846505633097e-15
"ENSG00000001561","Q9Y6X5","ENPP4",-0.433206603773586,8.66999794408548e-11,2.8549069943196e-10
"ENSG00000001617","C9J1V2","SEMA3F",-0.644003325238188,7.49827334157896e-11,2.48071733520396e-10
"ENSG00000001626",NA,"CFTR",-1.5538444330282,4.85742804377993e-10,1.50315389560083e-09
"ENSG00000001629","Q9P2G1","ANKIB1",0.449792863814675,1.08191184293656e-20,8.04119724712618e-20
"ENSG00000001630","A0A0C4DFL7","CYP51A1",-0.34487316458061,1.22739830286612e-07,3.12036847679695e-07
"ENSG00000001631",NA,"KRIT1",0.0903382402391291,0.00359775207064879,0.00581112781609252
"ENSG00000002016","P43351","RAD52",-0.139911339435832,0.00497157693743494,0.00787727419938652
"ENSG00000002079",NA,"MYH16",0.714657556510367,0.000293065349163157,0.000537479148275132
"ENSG00000002330","Q92934","BAD",0.154804894451704,0.0117781077726573,0.017714793564563
"ENSG00000002549","P28838","LAP3",-0.0372103680179361,0.56559063059681,0.616188507943787
"ENSG00000002586","P14209","CD99",-0.218834261161959,0.00802204680632053,0.0123479363465937
"ENSG00000002587","O14792","HS3ST1",0.88178682981505,4.66575711670245e-12,1.70176655365247e-11
"ENSG00000002726","P19801","AOC1",3.34113801606576,9.40215946700934e-27,1.35684342435461e-25
"ENSG00000002745","E9PH60","WNT16",0.626941388006724,3.39528090938554e-07,8.31484144916692e-07
"ENSG00000002746","Q76N89","HECW1",2.015507332337,6.64076799622634e-30,1.60363326787471e-28
"ENSG00000002822",NA,"MAD1L1",0.181386568279478,0.00053314094698125,0.000950933447107823
"ENSG00000002834","Q14847","LASP1",0.547232663926772,2.07151813531235e-19,1.37309950799229e-18
"ENSG00000002919","J3QRB9","SNX11",0.12804037922661,0.000290402206649934,0.000532891018366307
"ENSG00000002933","Q96HP8","TMEM176A",0.499197646179709,1.0446489211282e-06,2.44723537963858e-06
"ENSG00000003056","H0YFL0","M6PR",-0.128350018681109,0.00357488396097754,0.00577564149759942
"ENSG00000003096","A0A0C4DG99","KLHL13",-0.599452241733602,1.37587069721467e-06,3.1905218637592e-06
"ENSG00000003137","Q9NR63","CYP26B1",-0.916723024472258,3.20633852619982e-09,9.27854498594111e-09
"ENSG00000003147","Q05084","ICA1",1.00189244348963,1.17604946896799e-26,1.6775012255054e-25
"ENSG00000003249","Q9H9R9","DBNDD1",2.03121390808892,1.70625691188261e-34,2.91339592799283e-32
"ENSG00000003393","Q96Q42","ALS2",-0.062585391369332,0.00475395359476394,0.00755094938334414
"ENSG00000003400","Q92851","CASP10",-0.0434605361479647,0.560083423664156,0.611076899123075
"ENSG00000003402","O15519","CFLAR",-0.840518382215581,5.00823328872009e-27,7.50243456437964e-26
"ENSG00000003436","P10646","TFPI",-0.854017289370436,2.76316533019658e-13,1.11082182442917e-12
"ENSG00000003509","B4E0W7","NDUFAF7",0.123992546235753,8.67299644971807e-06,1.85862309101e-05
"ENSG00000003756","P52756","RBM5",-0.305880954604897,8.14317775956056e-16,4.00455061251029e-15
"ENSG00000003987","Q9Y216","MTMR7",-0.412103876331029,3.63979978202198e-09,1.04940626681773e-08
"ENSG00000003989","P52569","SLC7A2",-0.466167662992712,0.00151893497076455,0.00257083540796451
"ENSG00000004059","P84085","ARF5",0.360115804221929,7.91181945194865e-15,3.57882078104849e-14
"ENSG00000004139",NA,"SARM1",-0.0400252381841941,0.3026838184281,0.35416439045045
"ENSG00000004142","Q9Y2S7","POLDIP2",0.547172239865496,8.15645873203759e-25,9.2709745511222e-24
"ENSG00000004399","Q9Y4D7","PLXND1",-0.0732750513730576,0.0127015621610883,0.0190202937180539
"ENSG00000004455","P54819","AK2",0.760341780310101,6.15653053404234e-31,1.86919242154335e-29
"ENSG00000004468","P28907","CD38",-0.404873435456746,0.000868290289274943,0.00151141025634132
"ENSG00000004478","Q02790","FKBP4",0.860777778815615,9.70716635082085e-21,7.24685320781246e-20
"ENSG00000004487","O60341","KDM1A",0.513916243228097,1.91582770640652e-29,4.19579315337804e-28
"ENSG00000004534","P78332","RBM6",-0.179559798243982,2.23193563828512e-06,5.07262879708961e-06
"ENSG00000004660","J3KPJ3","CAMKK1",-0.262404315337195,0.000561462086472719,0.000998530032047123
"ENSG00000004700","P46063","RECQL",-0.105039977582658,0.01142758179752,0.0172284323325715
"ENSG00000004766","Q96JG6","VPS50",-0.00303076779375644,0.954639343194325,0.963230527264823
"ENSG00000004776","O14558","HSPB6",-2.03304142536895,2.60020511371755e-28,4.70855537931706e-27
"ENSG00000004777",NA,"ARHGAP33",0.36513752101625,0.000101428371091354,0.000195598689439893
"ENSG00000004779","O14561","NDUFAB1",0.696759237810568,1.26823918155036e-26,1.80125439002013e-25
"ENSG00000004799","Q16654","PDK4",-2.83473169250887,1.25933530038557e-27,2.06091984336636e-26
"ENSG00000004809",NA,"SLC22A16",-0.496478376611245,0.0180625876936822,0.0264439187297126
"ENSG00000004838",NA,"ZMYND10",-2.17967402391182,4.70398534451908e-20,3.29740400471656e-19
"ENSG00000004846","Q2M3G0","ABCB5",-0.493109583411173,8.31715910240982e-12,2.98032178106503e-11
"ENSG00000004848","Q96QS3","ARX",0.960581888660565,0.00172171468674174,0.00289419968838983
"ENSG00000004864","Q9UJS0","SLC25A13",0.813124369512426,3.87098143931222e-28,6.87740804611506e-27
"ENSG00000004866","E9PCV1","ST7",-0.385572734914998,7.25996159709533e-13,2.81817380615946e-12
"ENSG00000004897","P30260","CDC27",0.152113562488323,6.29480670782942e-07,1.50520694044138e-06
"ENSG00000004939","P02730","SLC4A1",-1.1988583691388,1.21175235366559e-24,1.35223573093121e-23
"ENSG00000004948","A0A0A0MSQ7","CALCR",-0.393278320567907,0.00411480794832663,0.00659362950011885
"ENSG00000004961","P53701","HCCS",0.3382993741827,5.39823620928337e-13,2.11699732804915e-12
"ENSG00000004975","O14641","DVL2",0.0324811787782586,0.917722623604984,0.932169368445775
"ENSG00000005001","Q9GZN4","PRSS22",1.30741397347282,4.28079172522796e-23,4.02611435254257e-22
"ENSG00000005007","Q92900","UPF1",0.193184952363158,3.71550243204652e-06,8.25194378994205e-06
"ENSG00000005020","O75563","SKAP2",-0.291426078834302,2.40045895028273e-05,4.9256253553366e-05
"ENSG00000005022","P05141","SLC25A5",0.533525331589749,5.51358860481658e-16,2.7467579482477e-15
"ENSG00000005059","Q9NWR8","MCUB",0.129171623388761,0.0595908564383463,0.08015935050793
"ENSG00000005073","H0YIA6","HOXA11",1.31400135438072,2.37049936411732e-12,8.85272427774348e-12
"ENSG00000005075","P52435","POLR2J",0.581789398468148,9.07268819707602e-25,1.02550077573804e-23
"ENSG00000005100","Q9H6R0","DHX33",0.206915309172427,0.000576092586086688,0.0010232365278698
"ENSG00000005102","P50221","MEOX1",-0.788521529983186,1.23593315440329e-05,2.60776556920928e-05
"ENSG00000005108","Q9UPZ6","THSD7A",-0.995394974780492,6.13695276169885e-16,3.04355314382723e-15
"ENSG00000005156","P49916","LIG3",0.37389867364095,2.89136400641233e-13,1.16054551324574e-12
"ENSG00000005175","Q9H6T3","RPAP3",0.485835849056601,6.31584103208351e-25,7.29051718776759e-24
"ENSG00000005187","H3BT38","ACSM3",0.267231178778253,0.00646967880013943,0.0100986342212839
"ENSG00000005189","H3BUT7","AC004381.6",0.746009882308985,2.98921590036672e-20,2.12824450884227e-19
"ENSG00000005194","Q6FI81","CIAPIN1",0.505909349897252,8.26117914938767e-23,7.5453406436857e-22
"ENSG00000005206",NA,"SPPL2B",0.387202606015316,4.96787687537758e-11,1.66743846867831e-10
"ENSG00000005238","Q7L5A3","FAM214B",-0.231133130954607,1.00339655038672e-05,2.1351017084573e-05
"ENSG00000005243",NA,"COPZ2",-0.352344937418272,2.01511120495525e-05,4.16288181768822e-05
"ENSG00000005249","P31323","PRKAR2B",-0.675649168690455,1.32364810826237e-10,4.28857901504137e-10
"ENSG00000005302","Q8N5Y2","MSL3",0.0348928824957948,0.55308098641796,0.604504127832564
"ENSG00000005339","Q92793","CREBBP",0.180595553895015,0.000640881943089129,0.00113195685197118
"ENSG00000005379",NA,"TSPOAP1",-0.467495712684475,3.21569186089397e-05,6.51392825302034e-05
"ENSG00000005381","P05164","MPO",-1.35268371940968,5.03498204363287e-23,4.6989456561072e-22
"ENSG00000005421","P27169","PON1",0.237420623949185,0.0873226916303538,0.113971972783729
"ENSG00000005436","S4R465","GCFC2",0.0114465813562461,0.752220922814842,0.788749257140396
"ENSG00000005448",NA,"WDR54",0.000966402017562373,0.991665279492514,0.993209568645348
"ENSG00000005469","Q9UKG9","CROT",-0.0689597235195194,0.153725179361568,0.191694092760487
"ENSG00000005471","H7C0M2","ABCB4",1.58964670278349,1.97149428171439e-25,2.40229911804864e-24
"ENSG00000005483","Q8IZD2","KMT2E",-0.169991089108908,0.00041405476608505,0.00074687792121049
"ENSG00000005486",NA,"RHBDD2",-0.128332953484019,0.0151673275479318,0.0224619872873754
"ENSG00000005513","P57073","SOX8",0.0551058658696091,0.785035357477097,0.817645478788669
"ENSG00000005700","Q9P2D0","IBTK",0.269234102372504,3.29540310959447e-10,1.03294866863895e-09
"ENSG00000005801","E9PPF8","ZNF195",0.508528283205681,3.70286815862508e-19,2.40353203319063e-18
"ENSG00000005810","O75592","MYCBP2",-0.337129273304688,2.81900664371567e-16,1.44025747880768e-15
"ENSG00000005812",NA,"FBXL3",-0.692315850924718,1.42355522101932e-30,3.96918875895336e-29
"ENSG00000005844","P20701","ITGAL",-1.15355844386326,1.6016675242866e-27,2.58605640563581e-26
"ENSG00000005882","Q15119","PDK2",-0.200428264524566,0.0020825893947688,0.00346493074777207
"ENSG00000005884","D6R9X8","ITGA3",0.101019362974027,0.0421143892161276,0.0581707530399857
"ENSG00000005889",NA,"ZFX",-0.134743218755835,0.00681639623072446,0.0105982478805522
"ENSG00000005893","P13473","LAMP2",0.146508331776579,0.109457122145462,0.140456827424576
"ENSG00000005961","K7EKA6","ITGA2B",-1.47847022230525,6.25667271685827e-15,2.85085303425249e-14
"ENSG00000005981",NA,"ASB4",0.111564235008408,0.575061609647795,0.625240968519632
"ENSG00000006007","Q9NZC3","GDE1",0.426894853353266,3.18709332281916e-08,8.49694670128494e-08
"ENSG00000006015",NA,"C19orf60",-0.15245307304315,0.0362690572293054,0.0506821165823526
"ENSG00000006016",NA,"CRLF1",2.07224250887353,5.11951808459927e-08,1.34337741987353e-07
"ENSG00000006025","Q9BZF2","OSBPL7",0.231563824023906,0.020580721695194,0.0298904580164035
"ENSG00000006042","Q9Y2Y6","TMEM98",-0.152328124416217,0.938933458286306,0.949916282347255
"ENSG00000006047","Q9Y2T7","YBX2",2.49177428544741,2.24311393853248e-15,1.06168924045173e-14
"ENSG00000006062","Q99558","MAP3K14",-0.553182505137311,2.91529686352549e-11,9.97768431632683e-11
"ENSG00000006071",NA,"ABCC8",-2.06355023351391,7.18624692994799e-14,3.01719163072313e-13
"ENSG00000006118",NA,"TMEM132A",1.62796327293107,5.77808737757301e-26,7.4797253878955e-25
"ENSG00000006125","K7ERB2","AP2B1",0.22476079768354,4.77225333125949e-07,1.1537796581553e-06
"ENSG00000006128","P20366","TAC1",-0.635212833924902,1.10804560140879e-06,2.59115912147004e-06
"ENSG00000006194","B4DI05","ZNF263",0.385135540818228,7.5441998185344e-16,3.71994795294434e-15
"ENSG00000006210","P78423","CX3CL1",-1.06062002615356,4.66635175010701e-11,1.569236145402e-10
"ENSG00000006282","D6R947","SPATA20",0.661238305623023,3.28963362212642e-20,2.3352404680691e-19
"ENSG00000006283","O43497","CACNA1G",0.45823390622081,0.0240467170701307,0.0345335053414933
"ENSG00000006327","I3L1J9","TNFRSF12A",1.08161743881936,8.86143500003951e-15,3.99199060490923e-14
"ENSG00000006432","P80192","MAP3K9",0.949455305436201,4.33891789955095e-24,4.54491050015667e-23
"ENSG00000006451","P11233","RALA",-0.347344629179894,1.00761122896907e-08,2.80402965006167e-08
"ENSG00000006453","Q9UHR4","BAIAP2L1",1.0085557164207,5.97611279357424e-29,1.20235775073637e-27
"ENSG00000006459","Q6ZMT4","KDM7A",0.0505671399215419,0.248599477834067,0.296468603891425
"ENSG00000006468","P50549","ETV1",-1.0844543153372,5.02376167008138e-21,3.86190852809671e-20
"ENSG00000006530","Q53H12","AGK",0.177256267513542,6.9762959399293e-08,1.8098035900903e-07
"ENSG00000006534","P43353","ALDH3B1",-1.18218875396973,1.10885884168807e-20,8.23354894013874e-20
"ENSG00000006555","Q5TAA0","TTC22",0.747988828694188,7.31247192468167e-17,3.91013507633333e-16
"ENSG00000006576","Q8N3S3","PHTF2",0.458154483467217,9.78350449469815e-17,5.18023675831376e-16
"ENSG00000006606","Q9Y258","CCL26",0.684304548851112,3.97594676369798e-05,7.98599484208314e-05
"ENSG00000006607","O94887","FARP2",-0.118539277040911,0.00922872909498428,0.0140912209490899
"ENSG00000006611","Q9Y6N9","USH1C",0.70126089108911,0.446365907637455,0.500881503091737
"ENSG00000006625","A0A0B4J1Y4","GGCT",1.73875749112648,1.93969821484537e-34,3.06766452510935e-32
"ENSG00000006634","Q9UBU7","DBF4",1.08704976648609,9.70695801637784e-29,1.88896521883008e-27
"ENSG00000006638","P21731","TBXA2R",-0.299984700168128,1.57775971046068e-12,5.96669634133352e-12
"ENSG00000006652","C9J311","IFRD1",-0.348343181393611,4.80112850121587e-07,1.16040804041976e-06
"ENSG00000006695","H7C101","COX10",0.198893741827014,7.74254068037337e-06,1.66551592794987e-05
"ENSG00000006704","Q9UHL9","GTF2IRD1",0.854579142536901,4.90305151126925e-25,5.71958448513812e-24
"ENSG00000006712","Q8N7H5","PAF1",-0.103313992153932,0.00368121851286387,0.00593898328495772
"ENSG00000006715","P49754","VPS41",0.237866897067065,2.29857324763152e-07,5.72514316483915e-07
"ENSG00000006740","Q17R89","ARHGAP44",-1.64867325798618,6.96897244687735e-32,2.76672507975875e-30
"ENSG00000006744",NA,"ELAC2",0.0503101812067968,0.835391844648885,0.861668903546416
"ENSG00000006747","Q9Y6U3","SCIN",0.686244918737152,0.000110509046309688,0.000212266480241143
"ENSG00000006756","P51689","ARSD",0.623035568839903,4.1235077634002e-10,1.28231155678822e-09
"ENSG00000006757","P41247","PNPLA4",0.181705361479542,0.0220863825205264,0.0319258096750297
"ENSG00000006788","Q9UKX3","MYH13",-0.47658043153372,0.0038759901423962,0.00623314650795661
"ENSG00000006831",NA,"ADIPOR2",-0.679884597422008,1.10157267669905e-22,9.9249563439504e-22
"ENSG00000006837","E5RI54","CDKL3",-0.434362759200446,6.23215187360152e-09,1.76081789903653e-08
"ENSG00000007001","O95045","UPP2",-0.170930282084811,0.040385650253433,0.0559429079418899
"ENSG00000007038","Q9Y6M0","PRSS21",-0.967894535774328,0.00038613025373008,0.00069889213701642
"ENSG00000007047","K7EK17","MARK4",0.132030487577056,0.016020869135609,0.0236478738789103
"ENSG00000007062","H0Y9D4","PROM1",0.0722941901737411,0.971297228475999,0.976815550770288
"ENSG00000007080","Q96CT7","CCDC124",0.174702876891464,0.0016190306496334,0.00273063885952884
"ENSG00000007129",NA,"CEACAM21",-1.17721756958715,1.00959937858517e-17,5.80963770059995e-17
"ENSG00000007168","I3L495","PAFAH1B1",-0.516600831309551,7.15652913240672e-28,1.21283839565412e-26
"ENSG00000007171","P35228","NOS2",-1.52717499532972,1.26642070055408e-21,1.02495613283728e-20
"ENSG00000007174","Q9NYC9","DNAH9",-3.48331653278535,5.52383195619569e-23,5.13862944038303e-22
"ENSG00000007202","Q14667","KIAA0100",0.332226816738272,4.46883609276717e-13,1.76417305354263e-12
"ENSG00000007216","Q13183","SLC13A2",-0.994065402577994,8.40195768878038e-05,0.000163320141674565
"ENSG00000007237","O60861","GAS7",-1.06176742013824,7.20622889537071e-27,1.060164570505e-25
"ENSG00000007255","O75865","TRAPPC6A",0.336088595180272,2.77504173552037e-08,7.4427359974976e-08
"ENSG00000007264","P42679","MATK",-1.50139995329722,1.96507061174386e-29,4.28176791849711e-28
"ENSG00000007306","Q14002","CEACAM7",2.83699898187932,4.73145317051523e-23,4.42837852042232e-22
"ENSG00000007312","P40259","CD79B",0.631947982439751,6.49543126812708e-07,1.55005090338084e-06
"ENSG00000007314","J3QQZ1","SCN4A",1.49038158042219,1.37120280959657e-09,4.09814593716546e-09
"ENSG00000007341","Q8TDW4","ST7L",-0.223211292733051,5.948645339686e-05,0.000117515645496637
"ENSG00000007350","P51854","TKTL1",-1.38348977209042,1.20527701407396e-13,4.97491011831213e-13
"ENSG00000007372","P26367","PAX6",0.0738423407435082,0.512678212447803,0.565684235564656
"ENSG00000007376","Q9UJJ7","RPUSD1",0.861511554268633,8.47917817944093e-28,1.41786388622988e-26
"ENSG00000007384","Q96CC6","RHBDF1",0.434591117130584,2.91436118194407e-11,9.97536665336525e-11
"ENSG00000007392","F8WBC1","LUC7L",0.0775228470016831,0.0675229073118111,0.0899862367127876
"ENSG00000007402","C9JVC9","CACNA2D2",-2.53412796562675,3.67770430238277e-24,3.88712493357022e-23
"ENSG00000007516","O94812","BAIAP3",0.379284457313656,0.00399558502881838,0.00641424538967769
"ENSG00000007520","Q9UJK0","TSR3",0.479591098449463,1.39960357457704e-21,1.12964012375421e-20
"ENSG00000007541","J3QTH6","PIGQ",0.112639370446482,0.12434337368831,0.157827986555431
"ENSG00000007545","Q96RY5","CRAMP1",0.099085821034933,0.0148366256962378,0.0219995032304871
"ENSG00000007866","B5MCM0","TEAD3",0.265355389501213,1.66255460998535e-07,4.18802270675139e-07
"ENSG00000007908","Q5TI75","SELE",-2.1729165234448,1.59530435996076e-11,5.58986651652827e-11
"ENSG00000007923",NA,"DNAJC11",0.344595637960019,1.02565780856002e-16,5.42179577733185e-16
"ENSG00000007933","P31513","FMO3",-1.32731994208855,8.34575423855829e-21,6.26442929997522e-20
"ENSG00000007944","Q8WY64","MYLIP",-0.505333224360177,1.78550567968909e-12,6.7345204450711e-12
"ENSG00000007952","Q9Y5S8","NOX1",1.43677445357743,2.40672249433863e-13,9.72055218940725e-13
"ENSG00000007968","Q14209","E2F2",1.51761265645432,2.34917575159389e-27,3.71373793847835e-26
"ENSG00000008018","P20618","PSMB1",0.231806295535209,4.38161021260205e-07,1.06327478615332e-06
"ENSG00000008056","P17600","SYN1",0.342734391929757,0.0249323074194407,0.0357237788136342
"ENSG00000008083","Q92833","JARID2",-0.0696034186437462,0.0828906460357835,0.108665142678178
"ENSG00000008086","O76039","CDKL5",-0.921139613300946,5.77152198577277e-31,1.76339874828967e-29
"ENSG00000008118","Q96NX5","CAMK1G",-0.828587166075097,1.23584852046046e-10,4.01668984722048e-10
"ENSG00000008128","Q5QPR4","CDK11A",-0.0314512889968217,0.8910612220631,0.909203574297283
"ENSG00000008130","O95544","NADK",0.280920166261916,7.20995237677219e-10,2.20201703416907e-09
"ENSG00000008196","X6R4Y8","TFAP2B",0.398225387633103,0.857227070907221,0.880547699822684
"ENSG00000008226",NA,"DLEC1",-1.26745041098449,3.00575613220386e-17,1.66173529205752e-16
"ENSG00000008256","O43739","CYTH3",0.0762227722772231,0.910353432040334,0.925806991059013
"ENSG00000008277","Q9P0K1","ADAM22",-0.42073353259854,3.10641480451549e-06,6.9569009471424e-06
"ENSG00000008282","Q16563","SYPL1",-0.0322806183448439,0.961116767943828,0.96859932858445
"ENSG00000008283","P49447","CYB561",0.795775985428735,4.54281766425431e-25,5.31865263488803e-24
"ENSG00000008294","O60271","SPAG9",-0.321436185316646,3.68697798588695e-10,1.15026916886888e-09
"ENSG00000008300","Q9NYQ7","CELSR3",2.42524854287316,1.0226788010989e-28,1.98013809611668e-27
"ENSG00000008311",NA,"AASS",-0.610762441621516,2.84546921220207e-15,1.33386554214851e-14
"ENSG00000008323","Q3KR16","PLEKHG6",0.684783952923596,8.50291525340996e-09,2.37870811014816e-08
"ENSG00000008324","Q9UHA2","SS18L2",0.187401410424063,1.60012522759464e-06,3.68530184468216e-06
"ENSG00000008382","Q8N594","MPND",-0.0128369419017336,0.881893841980103,0.901520389191014
"ENSG00000008394","F5H7F6","MGST1",0.785450429665611,1.17778193645e-13,4.86766918128617e-13
"ENSG00000008405","Q16526","CRY1",-0.449331328227164,3.27539358282948e-12,1.20893508338409e-11
"ENSG00000008438","O75594","PGLYRP1",-1.43496997011022,2.27916415434832e-19,1.50548896871187e-18
"ENSG00000008441","Q14938","NFIX",-0.819014879506824,1.75281058579338e-10,5.62160968211277e-10
"ENSG00000008513","Q11201","ST3GAL1",-0.146308994956101,0.195200076987506,0.238267089608113
"ENSG00000008516","Q9NPA2","MMP25",-1.41143481225481,1.74491053444816e-25,2.14167788211896e-24
"ENSG00000008517","P24001","IL32",-0.359925396973662,0.000649091008289397,0.00114593160027814
"ENSG00000008710","P98161","PKD1",-0.213169390995704,0.000561331070288182,0.000998509853643
"ENSG00000008735","Q13387","MAPK8IP2",0.591878283205677,7.29476620722677e-06,1.57463631017885e-05
"ENSG00000008838","A0A0B4J1W0","MED24",0.255203717541567,1.5998137513994e-07,4.03524497370753e-07
"ENSG00000008853","Q9BYZ6","RHOBTB2",-0.917890369886038,6.36640847481034e-15,2.89914251397753e-14
"ENSG00000008869","H7C2X3","HEATR5B",-0.527786643003916,5.94256964226468e-30,1.4532181237348e-28
"ENSG00000008952",NA,"SEC62",-0.192998664300388,7.32998972704283e-06,1.58206260739894e-05
"ENSG00000008988","P60866","RPS20",0.117935269942095,0.0332756650388681,0.0467950496163645
"ENSG00000009307","O75534","CSDE1",-0.228507379039788,2.36076477763003e-08,6.37193481177627e-08
"ENSG00000009335","Q15386","UBE3C",0.327169858023542,3.08694640378144e-17,1.70588822534043e-16
"ENSG00000009413",NA,"REV3L",-0.597616925088737,1.95506628599746e-29,4.26719756280294e-28
"ENSG00000009694","Q9UKZ4","TENM1",-0.793459648795064,9.82736289456016e-10,2.9689822808908e-09
"ENSG00000009709","P23759","PAX7",3.74317457500467,5.49621668318216e-17,2.96924969322857e-16
"ENSG00000009724","O00187","MASP2",-0.964191070427798,1.74769335092427e-18,1.07340026609608e-17
"ENSG00000009765","Q6PHW0","IYD",0.764076405753784,0.0083621026046854,0.0128380814566224
"ENSG00000009780","Q8TAV0","FAM76A",-0.475231272183819,3.74188445441364e-19,2.42804067952527e-18
"ENSG00000009790","E2QRE5","TRAF3IP3",-0.285087156734546,0.00194149457949369,0.00324176082073826
"ENSG00000009830","Q9UKY4","POMT2",0.609980982626562,7.54636831069227e-19,4.77701454628123e-18
"ENSG00000009844","Q9NP79","VTA1",0.149233579301326,0.0016634763877132,0.0028014266529399
"ENSG00000009950","Q9NP71","MLXIPL",-0.887244022043716,1.67984305032386e-08,4.58310686290634e-08
"ENSG00000009954","Q9UIG0","BAZ1B",0.22478749299459,6.22900594789649e-10,1.91271672255413e-09
"ENSG00000010017","Q96S59","RANBP9",0.462938258920232,2.8512117599694e-18,1.72102941663474e-17
"ENSG00000010030","Q9Y603","ETV7",0.803383084251827,4.36096121970471e-13,1.72405626992301e-12
"ENSG00000010072","Q9H040","SPRTN",0.454082766672895,9.94541029370006e-21,7.41467229180046e-20
"ENSG00000010165",NA,"METTL13",0.597320978890346,1.57817151156854e-27,2.55025378810379e-26
"ENSG00000010219","A0A0A0MTH5","DYRK4",-0.228871688772651,0.000125010265731986,0.000238777465937316
"ENSG00000010244","O43670","ZNF207",0.12569595553895,2.43210440996209e-06,5.5058358017146e-06
"ENSG00000010256",NA,"UQCRC1",0.333198991219875,3.05924883856135e-12,1.1324062679256e-11
"ENSG00000010270","O95772","STARD3NL",-0.187074836540251,1.87077426597369e-05,3.87875070651509e-05
"ENSG00000010278","P21926","CD9",-0.619867018494306,9.9741795850073e-14,4.13997650861404e-13
"ENSG00000010282",NA,"HHATL",-0.632945563235568,4.47968737131425e-06,9.8611897302707e-06
"ENSG00000010292",NA,"NCAPD2",0.793980347468711,9.60964524170307e-21,7.17682601571666e-20
"ENSG00000010295",NA,"IFFO1",-0.985051036801789,5.91060002019142e-29,1.19041828903532e-27
"ENSG00000010310","P48546","GIPR",0.033270829441439,0.891061331915244,0.909203574297283
"ENSG00000010318","Q9BWX1","PHF7",-0.340878105735101,1.15777960234249e-11,4.10036316765734e-11
"ENSG00000010319","Q9NS98","SEMA3G",-3.24745283952924,2.86304111737239e-35,1.50544034680707e-32
"ENSG00000010322","Q9Y2I1","NISCH",-0.405466663553149,7.0667312336871e-14,2.96895037100437e-13
"ENSG00000010327","Q9NY15","STAB1",-0.256091294601154,0.000829313886817554,0.00144741716772513
"ENSG00000010361","E9PKJ4","FUZ",-0.429688632542499,1.07459776709859e-07,2.74729384090152e-07
"ENSG00000010379","Q9NSD5","SLC6A13",-2.07627050252195,3.03317245065096e-29,6.39252275795575e-28
"ENSG00000010404","P22304","IDS",0.0325861292732981,0.543818086102274,0.595742860365705
"ENSG00000010438","P35030","PRSS3",2.08316545862133,4.93431233104548e-20,3.45133548201403e-19
"ENSG00000010539","P98182","ZNF200",0.350563655893893,9.70985910321794e-15,4.36350009239638e-14
"ENSG00000010610",NA,"CD4",-0.407430571642072,5.94103402471048e-08,1.54914900993008e-07
"ENSG00000010626","C9JKE8","LRRC23",-0.895032028768915,5.6019556473681e-15,2.56308875561815e-14
"ENSG00000010671","Q06187","BTK",-1.03200367083878,7.3842516216699e-26,9.45424306000729e-25
"ENSG00000010704","Q30201","HFE",0.174189361105919,8.32604220842676e-05,0.000161942360272671
"ENSG00000010803","Q96GD3","SCMH1",0.081743237436946,0.315366405455099,0.367469923522408
"ENSG00000010810","P06241","FYN",-0.951485045768727,1.99898414070306e-24,2.17353617936293e-23
"ENSG00000010818","P31629","HIVEP2",-0.112547973099193,0.269658810176396,0.319022129679838
"ENSG00000010932","Q5QPT3","FMO1",0.646016850364284,1.74536316326236e-06,4.00760556391356e-06
"ENSG00000011007","Q14241","TCEB3",-0.185301391742945,1.39103912338196e-06,3.22492092112866e-06
"ENSG00000011009","O95372","LYPLA2",0.823089370446478,5.04218028164797e-29,1.02839690744457e-27
"ENSG00000011021","P51797","CLCN6",-0.382211208668036,5.18538521919208e-12,1.88434720993882e-11
"ENSG00000011028","Q9UBG0","MRC2",-0.448312133383146,1.06570158593447e-08,2.96199643471805e-08
"ENSG00000011052",NA,"NME1-NME2",1.40463999626378,2.34197641196819e-15,1.10615919740301e-14
"ENSG00000011083","Q99884","SLC6A7",0.449473248645618,0.00131968697846951,0.00224895781717717
